"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","News Details","0","6","","0"
"0","EcoNews Management","0","Create News","5","0","Verify news tag selection behavior","0"
"0","","0","","3","0","","0"
