"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the Create News form contains the particular fields.","6499","test_verify_create_news_form_fields_visibility[chrome-Language.UK]","tests.ui.create_news_tests","Mon Mar 02 10:22:13 UTC 2026","passed","Mon Mar 02 10:22:19 UTC 2026","","create_news_form_visibility_test","",""
"The test checks successful validation when uploading a valid PNG image","204","test_img_upload_positive[chrome]","tests.ui.create_news_tests","Mon Mar 02 10:22:31 UTC 2026","passed","Mon Mar 02 10:22:31 UTC 2026","TestUploadImage","upload_image_test","",""
"Verify that the Create News form contains the particular fields.","7424","test_verify_create_news_form_fields_visibility[chrome-Language.EN]","tests.ui.create_news_tests","Mon Mar 02 10:21:58 UTC 2026","passed","Mon Mar 02 10:22:06 UTC 2026","","create_news_form_visibility_test","",""
"Verify Create News publishing with multiple tags in different locales","1950","test_tag_selection[chrome-Language.UK]","tests.ui","Mon Mar 02 10:23:59 UTC 2026","passed","Mon Mar 02 10:24:01 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify creating news with three tags","1674","test_three_tags_selection[chrome]","tests.ui","Mon Mar 02 10:24:15 UTC 2026","passed","Mon Mar 02 10:24:17 UTC 2026","TestTagSelection","tag_selection_test","",""
"","2657","test_base_navigate[chrome]","tests.ui","Mon Mar 02 10:24:20 UTC 2026","passed","Mon Mar 02 10:24:22 UTC 2026","","test_stub","",""
"","4","test_greencity_is_work[chrome]","tests.ui","Mon Mar 02 10:24:18 UTC 2026","passed","Mon Mar 02 10:24:18 UTC 2026","","test_stub","",""
"Checks that the count of recommended cards equals 3","0","Verify that 3 recommended news cards are displayed","tests.ui","Mon Mar 02 10:24:17 UTC 2026","skipped","Mon Mar 02 10:24:17 UTC 2026","TestNewsDetails","test_news_details","",""
"","0","Verify news details elements and content","tests.ui","Mon Mar 02 10:24:17 UTC 2026","skipped","Mon Mar 02 10:24:17 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that the Create News form contains the particular fields.","10726","test_verify_edit_news_form_fields_visibility[Language.UK-chrome]","tests.ui.edit_news_tests","Mon Mar 02 10:23:15 UTC 2026","passed","Mon Mar 02 10:23:26 UTC 2026","","edit_news_form_visibility_test","",""
"Verify that the author can edit their own news and the changes are saved","2969","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Mon Mar 02 10:23:35 UTC 2026","passed","Mon Mar 02 10:23:37 UTC 2026","","edit_own_news_test","",""
"","0","Verify 'Recommended News' section title","tests.ui","Mon Mar 02 10:24:17 UTC 2026","skipped","Mon Mar 02 10:24:17 UTC 2026","TestNewsDetails","test_news_details","",""
"","0","Verify like functionality","tests.ui","Mon Mar 02 10:24:17 UTC 2026","skipped","Mon Mar 02 10:24:17 UTC 2026","TestNewsDetails","test_news_details","",""
"","0","Verify navigation to a recommended news card","tests.ui","Mon Mar 02 10:24:17 UTC 2026","skipped","Mon Mar 02 10:24:17 UTC 2026","TestNewsDetails","test_news_details","",""
"The test checks validation error when uploading a GIF image (unsupported format)","10137","test_img_upload_gif_negative[chrome]","tests.ui.create_news_tests","Mon Mar 02 10:22:37 UTC 2026","passed","Mon Mar 02 10:22:47 UTC 2026","TestUploadImage","upload_image_test","",""
"","4358","test_title_field_validation[chrome]","tests.ui.create_news_tests","Mon Mar 02 10:22:20 UTC 2026","passed","Mon Mar 02 10:22:25 UTC 2026","","title_field_validation_test","",""
"Verify max 3 tags selectable behavior","1599","test_four_tags_selection_blocked[chrome]","tests.ui","Mon Mar 02 10:23:43 UTC 2026","passed","Mon Mar 02 10:23:45 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the Create News form contains the particular fields.","10600","test_verify_edit_news_form_fields_visibility[Language.EN-chrome]","tests.ui.edit_news_tests","Mon Mar 02 10:22:56 UTC 2026","passed","Mon Mar 02 10:23:06 UTC 2026","","edit_news_form_visibility_test","",""
"Verify Create News publishing with multiple tags in different locales","1888","test_tag_selection[chrome-Language.EN]","tests.ui","Mon Mar 02 10:23:51 UTC 2026","passed","Mon Mar 02 10:23:53 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify creating news with single tag","1529","test_single_tag_selection[chrome]","tests.ui","Mon Mar 02 10:24:07 UTC 2026","passed","Mon Mar 02 10:24:09 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify navigation and UI state","tests.ui","Mon Mar 02 10:24:17 UTC 2026","skipped","Mon Mar 02 10:24:17 UTC 2026","TestNewsDetails","test_news_details","",""
