"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Check selection of three tags","tests.ui.create_news_tests","Fri Mar 06 07:10:36 UTC 2026","broken","Fri Mar 06 07:10:36 UTC 2026","TestTagSelection","tag_selection_test","",""
"Test: Delete a comment by its ID.","265","test_delete_comment_by_id","tests.api.econews_comment","Fri Mar 06 07:10:18 UTC 2026","passed","Fri Mar 06 07:10:19 UTC 2026","TestNewsComments","news_comments_test","",""
"Verify that the 'Edit news' button is not visible for news created by other users","13","test_edit_button_not_visible_to_other_users[chrome]","tests.ui.edit_news_tests","Fri Mar 06 07:10:48 UTC 2026","broken","Fri Mar 06 07:10:48 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"Verify Create News publishing with multiple tags in different locales","0","test_tag_selection[chrome-Language.EN]","tests.ui","Fri Mar 06 07:10:55 UTC 2026","broken","Fri Mar 06 07:10:55 UTC 2026","TestTagSelection","tag_selection_test","",""
"","601","test_api_is_work","tests.api","Fri Mar 06 07:10:04 UTC 2026","passed","Fri Mar 06 07:10:04 UTC 2026","","base_api_test","",""
"Verify that the Create News form contains the particular fields.","0","test_verify_edit_news_form_fields_visibility[Language.UK-chrome]","tests.ui.edit_news_tests","Fri Mar 06 07:10:50 UTC 2026","broken","Fri Mar 06 07:10:50 UTC 2026","","edit_news_form_visibility_test","",""
"","0","test_title_field_validation","tests.ui.create_news_tests","Fri Mar 06 07:10:40 UTC 2026","broken","Fri Mar 06 07:10:40 UTC 2026","","title_field_validation_test","",""
"Verify that EcoNews can be retrieved in English and Ukrainian using lang parameter.","235","test_get_eco_news_by_lang[uk-Title in Ukrainian should not be null]","tests.api.econews_by_id","Fri Mar 06 07:10:09 UTC 2026","passed","Fri Mar 06 07:10:09 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"","1108","test_create_and_verify_news","tests.api","Fri Mar 06 07:10:19 UTC 2026","passed","Fri Mar 06 07:10:20 UTC 2026","","test_create_news_success","",""
"","538","Add and remove news from favorites (Authorized)","tests.api.econews_by_id","Fri Mar 06 07:10:13 UTC 2026","passed","Fri Mar 06 07:10:14 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"Verify that updating EcoNews with invalid id, tag, title, content returns 400 Bad Request","1889","test_update_eco_news_by_id_should_return_400","tests.api.econews_by_id","Fri Mar 06 07:10:10 UTC 2026","passed","Fri Mar 06 07:10:11 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Verify max 3 tags selectable behavior","0","test_four_tags_selection_blocked[chrome]","tests.ui","Fri Mar 06 07:10:54 UTC 2026","broken","Fri Mar 06 07:10:54 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that updating EcoNews with a specific image is successful","563","test_update_eco_news_by_id_with_image","tests.api.econews_by_id","Fri Mar 06 07:10:11 UTC 2026","passed","Fri Mar 06 07:10:12 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"","0","Verify navigation to a recommended news card","tests.ui","Fri Mar 06 07:11:02 UTC 2026","skipped","Fri Mar 06 07:11:02 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that the author can edit their own news and the changes are saved","0","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Fri Mar 06 07:10:51 UTC 2026","broken","Fri Mar 06 07:10:51 UTC 2026","","edit_own_news_test","",""
"","0","Check selection of one tag","tests.ui.create_news_tests","Fri Mar 06 07:10:34 UTC 2026","broken","Fri Mar 06 07:10:34 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify that selecting a 4th tag is blocked","tests.ui.create_news_tests","Fri Mar 06 07:10:37 UTC 2026","broken","Fri Mar 06 07:10:37 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify 'Recommended News' section title","tests.ui","Fri Mar 06 07:11:02 UTC 2026","skipped","Fri Mar 06 07:11:02 UTC 2026","TestNewsDetails","test_news_details","",""
"Test: Add a comment to eco news.","376","test_add_comment_to_eco_news","tests.api.econews_comment","Fri Mar 06 07:10:17 UTC 2026","passed","Fri Mar 06 07:10:18 UTC 2026","TestNewsComments","news_comments_test","",""
"","223","test_get_tags","tests.api","Fri Mar 06 07:10:20 UTC 2026","passed","Fri Mar 06 07:10:21 UTC 2026","","test_get_tags","",""
"Verify that an authorized user can successfully delete an existing EcoNews item","507","test_delete_eco_news_by_id","tests.api.econews_by_id","Fri Mar 06 07:10:07 UTC 2026","passed","Fri Mar 06 07:10:08 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"Verify creating news with single tag","0","test_single_tag_selection[chrome]","tests.ui","Fri Mar 06 07:10:58 UTC 2026","broken","Fri Mar 06 07:10:58 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that deleting a non-existing EcoNews returns 404 Not Found","240","test_delete_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Fri Mar 06 07:10:08 UTC 2026","passed","Fri Mar 06 07:10:08 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"","318","test_get_news_success","tests.api","Fri Mar 06 07:10:20 UTC 2026","passed","Fri Mar 06 07:10:20 UTC 2026","","test_create_news_success","",""
"Verify that deleting EcoNews without authorization returns 401 status code.","402","test_delete_eco_news_by_id_without_token","tests.api.econews_by_id","Fri Mar 06 07:10:05 UTC 2026","passed","Fri Mar 06 07:10:06 UTC 2026","TestUnauthorizedEcoNewsById","econews_by_id_test","",""
"","0","Verify news details elements and content","tests.ui","Fri Mar 06 07:11:02 UTC 2026","skipped","Fri Mar 06 07:11:02 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that requesting a non-existing EcoNews returns 404 status code.","224","test_get_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Fri Mar 06 07:10:09 UTC 2026","passed","Fri Mar 06 07:10:10 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"","0","Verify navigation and UI state","tests.ui","Fri Mar 06 07:11:02 UTC 2026","skipped","Fri Mar 06 07:11:02 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that EcoNews can be successfully retrieved by ID.","468","test_get_eco_news_by_id","tests.api.econews_by_id","Fri Mar 06 07:10:08 UTC 2026","passed","Fri Mar 06 07:10:09 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"","0","test_cancel_editing_discards_changes[chrome]","tests.ui","Fri Mar 06 07:11:01 UTC 2026","broken","Fri Mar 06 07:11:01 UTC 2026","","test_cancel_editing","",""
"Verify that the Create News form contains the particular fields.","0","test_verify_create_news_form_fields_visibility[chrome-Language.EN]","tests.ui.create_news_tests","Fri Mar 06 07:10:31 UTC 2026","broken","Fri Mar 06 07:10:31 UTC 2026","","create_news_form_visibility_test","",""
"Verify that the Create News form contains the particular fields.","0","test_verify_create_news_form_fields_visibility[chrome-Language.UK]","tests.ui.create_news_tests","Fri Mar 06 07:10:33 UTC 2026","broken","Fri Mar 06 07:10:33 UTC 2026","","create_news_form_visibility_test","",""
"Verify that updating EcoNews without providing an image works correctly","463","test_update_eco_news_by_id_without_image","tests.api.econews_by_id","Fri Mar 06 07:10:07 UTC 2026","passed","Fri Mar 06 07:10:07 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"Verify that the Create News form contains the particular fields.","0","test_verify_edit_news_form_fields_visibility[Language.EN-chrome]","tests.ui.edit_news_tests","Fri Mar 06 07:10:48 UTC 2026","broken","Fri Mar 06 07:10:48 UTC 2026","","edit_news_form_visibility_test","",""
