"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verify like functionality","tests.ui","Thu Mar 05 18:55:21 UTC 2026","skipped","Thu Mar 05 18:55:21 UTC 2026","TestNewsDetails","test_news_details","",""
"","12","test_base_navigate[chrome]","tests.ui","Thu Mar 05 18:55:26 UTC 2026","broken","Thu Mar 05 18:55:26 UTC 2026","","test_stub","",""
"","5","test_greencity_is_work[chrome]","tests.ui","Thu Mar 05 18:55:23 UTC 2026","passed","Thu Mar 05 18:55:23 UTC 2026","","test_stub","",""
"Verify that requesting a non-existing EcoNews returns 404 status code.","91","test_get_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Thu Mar 05 18:53:58 UTC 2026","passed","Thu Mar 05 18:53:58 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"","0","Check selection of one tag","tests.ui.create_news_tests","Thu Mar 05 18:54:24 UTC 2026","broken","Thu Mar 05 18:54:24 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify Create News publishing with multiple tags in different locales","0","test_tag_selection[chrome-Language.UK]","tests.ui","Thu Mar 05 18:55:10 UTC 2026","broken","Thu Mar 05 18:55:10 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify news details elements and content","tests.ui","Thu Mar 05 18:55:21 UTC 2026","skipped","Thu Mar 05 18:55:21 UTC 2026","TestNewsDetails","test_news_details","",""
"","0","Verify that selecting a 4th tag is blocked","tests.ui.create_news_tests","Thu Mar 05 18:54:30 UTC 2026","broken","Thu Mar 05 18:54:30 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify creating news with single tag","0","test_single_tag_selection[chrome]","tests.ui","Thu Mar 05 18:55:12 UTC 2026","broken","Thu Mar 05 18:55:12 UTC 2026","TestTagSelection","tag_selection_test","",""
"Checks that the count of recommended cards equals 3","0","Verify that 3 recommended news cards are displayed","tests.ui","Thu Mar 05 18:55:21 UTC 2026","skipped","Thu Mar 05 18:55:21 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that EcoNews can be retrieved in English and Ukrainian using lang parameter.","97","test_get_eco_news_by_lang[en-Title in English should not be null]","tests.api.econews_by_id","Thu Mar 05 18:53:58 UTC 2026","passed","Thu Mar 05 18:53:58 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"","210","Add the same news twice - Error 400","tests.api.econews_by_id","Thu Mar 05 18:54:01 UTC 2026","passed","Thu Mar 05 18:54:01 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"Verify that the author can edit their own news and the changes are saved","0","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Thu Mar 05 18:54:59 UTC 2026","broken","Thu Mar 05 18:54:59 UTC 2026","","edit_own_news_test","",""
"Verify that clicking the Cancel button triggers a confirmation modal, and selecting 'Yes, cancel' closes the form and redirects away","0","test_cancel_button_behavior[chrome]","tests.ui.create_news_tests","Thu Mar 05 18:54:04 UTC 2026","broken","Thu Mar 05 18:54:04 UTC 2026","","cancel_creating_test","",""
"Verify creating news with three tags","0","test_three_tags_selection[chrome]","tests.ui","Thu Mar 05 18:55:15 UTC 2026","broken","Thu Mar 05 18:55:15 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","test_edit_content_not_shorter_than_20_chars_not_accepted[chrome]","tests.ui.create_news_tests","Thu Mar 05 18:54:36 UTC 2026","broken","Thu Mar 05 18:54:36 UTC 2026","","too_short_content_test","",""
"","87","test_get_tags","tests.api","Thu Mar 05 18:54:04 UTC 2026","passed","Thu Mar 05 18:54:04 UTC 2026","","test_get_tags","",""
"","0","test_title_field_validation","tests.ui.create_news_tests","Thu Mar 05 18:54:36 UTC 2026","broken","Thu Mar 05 18:54:36 UTC 2026","","title_field_validation_test","",""
"","216","Add and remove news from favorites (Authorized)","tests.api.econews_by_id","Thu Mar 05 18:54:00 UTC 2026","passed","Thu Mar 05 18:54:01 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"","0","test_source_field_validation[chrome]","tests.ui.create_news_tests","Thu Mar 05 18:54:33 UTC 2026","broken","Thu Mar 05 18:54:33 UTC 2026","","test_source_field","",""
"","81","Attempt to add to favorites without token - Error 401","tests.api.econews_by_id","Thu Mar 05 18:54:02 UTC 2026","passed","Thu Mar 05 18:54:02 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"Verify that updating EcoNews with invalid id, tag, title, content returns 400 Bad Request","1127","test_update_eco_news_by_id_should_return_400","tests.api.econews_by_id","Thu Mar 05 18:53:58 UTC 2026","passed","Thu Mar 05 18:53:59 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"","0","Verify navigation to a recommended news card","tests.ui","Thu Mar 05 18:55:21 UTC 2026","skipped","Thu Mar 05 18:55:21 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify max 3 tags selectable behavior","0","test_four_tags_selection_blocked[chrome]","tests.ui","Thu Mar 05 18:55:05 UTC 2026","broken","Thu Mar 05 18:55:05 UTC 2026","TestTagSelection","tag_selection_test","",""
"Test: Add a comment to eco news.","268","test_add_comment_to_eco_news","tests.api.econews_comment","Thu Mar 05 18:54:02 UTC 2026","passed","Thu Mar 05 18:54:02 UTC 2026","TestNewsComments","news_comments_test","",""
"Verify that deleting a non-existing EcoNews returns 404 Not Found","228","test_delete_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Thu Mar 05 18:53:57 UTC 2026","passed","Thu Mar 05 18:53:57 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
