"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","UI Tests","0","News Creation","1","0","News Preview Functionality","0"
"0","","0","News Details","0","6","","0"
"1","","0","","2","0","","0"
