"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Edit News","0","0","Cancel editing behavior","0"
"0","","0","","3","0","","0"
"0","","0","News Details","0","6","","0"
