"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify Create News publishing with multiple tags in different locales","1861","test_tag_selection[chrome-Language.UK]","tests.ui","Thu Mar 05 11:06:10 UTC 2026","passed","Thu Mar 05 11:06:12 UTC 2026","TestTagSelection","tag_selection_test","",""
"","452","test_api_is_work","tests.api","Thu Mar 05 11:02:46 UTC 2026","passed","Thu Mar 05 11:02:47 UTC 2026","","base_api_test","",""
"Verify that the 'Edit news' button is visible only to the author of the news","88","test_edit_button_visible_to_author[chrome]","tests.ui.edit_news_tests","Thu Mar 05 11:04:36 UTC 2026","passed","Thu Mar 05 11:04:36 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"Verify that the author can edit their own news and the changes are saved","2789","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Thu Mar 05 11:05:35 UTC 2026","passed","Thu Mar 05 11:05:38 UTC 2026","","edit_own_news_test","",""
"Checks that the count of recommended cards equals 3","0","Verify that 3 recommended news cards are displayed","tests.ui","Thu Mar 05 11:06:35 UTC 2026","skipped","Thu Mar 05 11:06:35 UTC 2026","TestNewsDetails","test_news_details","",""
"","0","Verify 'Recommended News' section title","tests.ui","Thu Mar 05 11:06:35 UTC 2026","skipped","Thu Mar 05 11:06:35 UTC 2026","TestNewsDetails","test_news_details","",""
"","419","test_base_navigate[chrome]","tests.ui","Thu Mar 05 11:06:42 UTC 2026","passed","Thu Mar 05 11:06:42 UTC 2026","","test_stub","",""
"","0","Verify like functionality","tests.ui","Thu Mar 05 11:06:35 UTC 2026","skipped","Thu Mar 05 11:06:35 UTC 2026","TestNewsDetails","test_news_details","",""
"","2419","test_title_field_validation[chrome]","tests.ui.create_news_tests","Thu Mar 05 11:04:02 UTC 2026","passed","Thu Mar 05 11:04:04 UTC 2026","","title_field_validation_test","",""
"Verify that the Create News form contains the particular fields.","10314","test_verify_edit_news_form_fields_visibility[Language.EN-chrome]","tests.ui.edit_news_tests","Thu Mar 05 11:04:57 UTC 2026","passed","Thu Mar 05 11:05:07 UTC 2026","","edit_news_form_visibility_test","",""
"Verify that updating EcoNews without providing an image works correctly","334","test_update_eco_news_by_id_without_image","tests.api.econews_by_id","Thu Mar 05 11:02:48 UTC 2026","passed","Thu Mar 05 11:02:48 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"","0","Verify navigation to a recommended news card","tests.ui","Thu Mar 05 11:06:35 UTC 2026","skipped","Thu Mar 05 11:06:35 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify max 3 tags selectable behavior","1697","test_four_tags_selection_blocked[chrome]","tests.ui","Thu Mar 05 11:05:53 UTC 2026","passed","Thu Mar 05 11:05:54 UTC 2026","TestTagSelection","tag_selection_test","",""
"","1162","Check selection of one tag","tests.ui.create_news_tests","Thu Mar 05 11:03:34 UTC 2026","failed","Thu Mar 05 11:03:35 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the Create News form contains the particular fields.","6052","test_verify_create_news_form_fields_visibility[chrome-Language.UK]","tests.ui.create_news_tests","Thu Mar 05 11:03:22 UTC 2026","passed","Thu Mar 05 11:03:28 UTC 2026","","create_news_form_visibility_test","",""
"The test checks successful validation when uploading a valid PNG image","162","test_img_upload_positive[chrome]","tests.ui.create_news_tests","Thu Mar 05 11:04:11 UTC 2026","passed","Thu Mar 05 11:04:11 UTC 2026","TestUploadImage","upload_image_test","",""
"Verify creating news with single tag","1417","test_single_tag_selection[chrome]","tests.ui","Thu Mar 05 11:06:18 UTC 2026","passed","Thu Mar 05 11:06:19 UTC 2026","TestTagSelection","tag_selection_test","",""
"","1317","Check selection of three tags","tests.ui.create_news_tests","Thu Mar 05 11:03:42 UTC 2026","failed","Thu Mar 05 11:03:43 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the Create News form contains the particular fields.","6537","test_verify_create_news_form_fields_visibility[chrome-Language.EN]","tests.ui.create_news_tests","Thu Mar 05 11:03:10 UTC 2026","passed","Thu Mar 05 11:03:17 UTC 2026","","create_news_form_visibility_test","",""
"Verify that the 'Edit news' button is not visible for news created by other users","10172","test_edit_button_not_visible_to_other_users[chrome]","tests.ui.edit_news_tests","Thu Mar 05 11:04:39 UTC 2026","passed","Thu Mar 05 11:04:49 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"Verify that deleting EcoNews without authorization returns 401 status code.","122","test_delete_eco_news_by_id_without_token","tests.api.econews_by_id","Thu Mar 05 11:02:47 UTC 2026","passed","Thu Mar 05 11:02:47 UTC 2026","TestUnauthorizedEcoNewsById","econews_by_id_test","",""
"","2159","test_source_field_validation[chrome]","tests.ui.create_news_tests","Thu Mar 05 11:03:56 UTC 2026","passed","Thu Mar 05 11:03:58 UTC 2026","","test_source_field","",""
"Verify that an authorized user can successfully delete an existing EcoNews item","541","test_delete_eco_news_by_id","tests.api.econews_by_id","Thu Mar 05 11:02:48 UTC 2026","passed","Thu Mar 05 11:02:49 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"Verify creating news with three tags","1634","test_three_tags_selection[chrome]","tests.ui","Thu Mar 05 11:06:25 UTC 2026","passed","Thu Mar 05 11:06:26 UTC 2026","TestTagSelection","tag_selection_test","",""
"","959","Verify that selecting a 4th tag is blocked","tests.ui.create_news_tests","Thu Mar 05 11:03:50 UTC 2026","passed","Thu Mar 05 11:03:51 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that deleting a non-existing EcoNews returns 404 Not Found","390","test_delete_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Thu Mar 05 11:02:49 UTC 2026","passed","Thu Mar 05 11:02:49 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"Verify that clicking the Cancel button triggers a confirmation modal, and selecting 'Yes, cancel' closes the form and redirects away","1247","test_cancel_button_behavior[chrome]","tests.ui.create_news_tests","Thu Mar 05 11:03:03 UTC 2026","passed","Thu Mar 05 11:03:04 UTC 2026","","cancel_creating_test","",""
"","6","test_greencity_is_work[chrome]","tests.ui","Thu Mar 05 11:06:38 UTC 2026","passed","Thu Mar 05 11:06:38 UTC 2026","","test_stub","",""
"","0","Verify navigation and UI state","tests.ui","Thu Mar 05 11:06:35 UTC 2026","skipped","Thu Mar 05 11:06:35 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify Create News publishing with multiple tags in different locales","1801","test_tag_selection[chrome-Language.EN]","tests.ui","Thu Mar 05 11:06:02 UTC 2026","passed","Thu Mar 05 11:06:03 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify news details elements and content","tests.ui","Thu Mar 05 11:06:35 UTC 2026","skipped","Thu Mar 05 11:06:35 UTC 2026","TestNewsDetails","test_news_details","",""
