"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI Tests","2","Eco News","1","0","Tag Selection","0"
"0","","0","","1","0","","0"
"0","EcoNews Management","0","Create News","2","0","Verify visibility and behavior of Create News form","0"
"0","","0","Create News","1","0","Cancel news creation","0"
