"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test: Get a comment by its ID.","123","test_get_comment_by_id","tests.api.econews_comment","Fri Mar 06 14:28:25 UTC 2026","passed","Fri Mar 06 14:28:25 UTC 2026","TestNewsComments","news_comments_test","",""
"Verify that the Edit News page disables the Edit button and highlights the title field when the title is empty","0","test_empty_title_field[chrome]","tests.ui.edit_news_tests","Fri Mar 06 14:30:53 UTC 2026","broken","Fri Mar 06 14:30:53 UTC 2026","","empty_title_validation_test","",""
"","5","test_greencity_is_work[chrome]","tests.ui","Fri Mar 06 14:32:17 UTC 2026","passed","Fri Mar 06 14:32:17 UTC 2026","","test_stub","",""
"Verify Create News publishing with multiple tags in different locales","1012","test_tag_selection[chrome-Language.EN]","tests.ui","Fri Mar 06 14:31:16 UTC 2026","broken","Fri Mar 06 14:31:17 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that active replies for a comment can be retrieved when page size is set to 1.","237","test_get_active_replies_size_one","tests.api.econews_comment","Fri Mar 06 14:28:21 UTC 2026","passed","Fri Mar 06 14:28:22 UTC 2026","TestEcoNewsCommentReplies","news_comments_replies_test","",""
"Verify that active replies for a comment can be retrieved successfully without query parameters.","241","test_get_active_replies_default","tests.api.econews_comment","Fri Mar 06 14:28:21 UTC 2026","passed","Fri Mar 06 14:28:21 UTC 2026","TestEcoNewsCommentReplies","news_comments_replies_test","",""
"Verify that updating EcoNews with invalid id, tag, title, content returns 400 Bad Request","864","test_update_eco_news_by_id_should_return_400","tests.api.econews_by_id","Fri Mar 06 14:28:16 UTC 2026","passed","Fri Mar 06 14:28:17 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Verify that active replies for a comment can be retrieved for a specific page (page=0, size=10).","270","test_get_active_replies_with_page","tests.api.econews_comment","Fri Mar 06 14:28:21 UTC 2026","passed","Fri Mar 06 14:28:21 UTC 2026","TestEcoNewsCommentReplies","news_comments_replies_test","",""
"Test: Delete a comment by its ID.","143","test_delete_comment_by_id","tests.api.econews_comment","Fri Mar 06 14:28:25 UTC 2026","passed","Fri Mar 06 14:28:25 UTC 2026","TestNewsComments","news_comments_test","",""
"Verify that the author can edit their own news and the changes are saved","0","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Fri Mar 06 14:30:47 UTC 2026","broken","Fri Mar 06 14:30:47 UTC 2026","","edit_own_news_test","",""
