"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a user can delete their comment by ID.","119","Delete comment by ID","tests.api.econews_comment","Thu Mar 12 08:15:02 UTC 2026","passed","Thu Mar 12 08:15:03 UTC 2026","TestNewsComments","news_comments_api_test","",""
"
    Verify that the user can cancel the EcoNews creation process.

    Steps:
    1. Open the Create News page and switch language to English.
    2. Fill in the news title and content.
    3. Click the Cancel button.
    4. Verify that the cancellation confirmation modal appears.
    5. Verify the modal text content.
    6. Confirm cancellation.
    7. Verify that the user is redirected away from the Create News page.
    ","1573","Verify cancel button behavior and redirection after confirmation","tests.ui.create_news_tests","Thu Mar 12 08:15:40 UTC 2026","passed","Thu Mar 12 08:15:41 UTC 2026","","cancel_creating_test","",""
"
    Test the Title field validation on the Create EcoNews page.

    Scenarios:
    1. Empty title should be invalid.
    2. Title exceeding 170 characters should be invalid.
    3. Correct title length should be valid, but Publish remains disabled until content and tag are filled.
    4. Publish button becomes enabled after filling content and selecting a tag.
    ","1340","Verify Title field validation during news creation","tests.ui.create_news_tests","Thu Mar 12 08:17:23 UTC 2026","passed","Thu Mar 12 08:17:25 UTC 2026","","title_validation_test","",""
"Test checks selection of one tag.","1109","Check selection of one tag","tests.ui.create_news_tests","Thu Mar 12 08:16:27 UTC 2026","passed","Thu Mar 12 08:16:28 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that EcoNews can be retrieved in English and Ukrainian using lang parameter.","152","test_get_eco_news_by_lang[uk-Title in Ukrainian should not be null]","tests.api.econews_by_id","Thu Mar 12 08:14:53 UTC 2026","passed","Thu Mar 12 08:14:53 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"
        Verify that a comment without replies returns an empty active replies page.
        Uses a sub-comment that has no child replies.
        ","75","Verify that comment without replies returns empty active replies page","tests.api.econews_comment","Thu Mar 12 08:15:05 UTC 2026","passed","Thu Mar 12 08:15:05 UTC 2026","TestEcoNewsCommentReplies","news_comments_replies_test","",""
"
    Verify that all fields in the Create News form are visible and have correct default values.

    Steps:
    1. Set window size and language.
    2. Verify title field and counter.
    3. Verify tags visibility and default selection.
    4. Verify image upload component.
    5. Verify source field visibility and default value.
    6. Verify content field, toolbar, counter, and default text.
    7. Verify author field visibility and value.
    8. Verify post date field visibility.
    9. Verify action buttons (Cancel, Preview, Publish) visibility.
    10. Verify that all fields except author match expected language-specific data.
    ","6406","Verify that the Create News form contains the particular fields.","tests.ui.create_news_tests","Thu Mar 12 08:15:56 UTC 2026","passed","Thu Mar 12 08:16:02 UTC 2026","","create_news_form_visibility_test","",""
"Verify that an attempt to like EcoNews created by another user is successful.","140","test_like_another_users_eco_news_by_id","tests.api.econews_by_id","Thu Mar 12 08:14:56 UTC 2026","passed","Thu Mar 12 08:14:56 UTC 2026","TestEcoNewsByIdLikes","econews_by_id_test","",""
"
        Verify that active replies are correctly sorted:
        1. By createdDate in descending order
        2. By modifiedDate in descending order
        3. By multiple fields (createdDate, modifiedDate) in descending order
        ","585","Verify active replies are correctly sorted by createdDate and modifiedDate","tests.api.econews_comment","Thu Mar 12 08:15:05 UTC 2026","passed","Thu Mar 12 08:15:05 UTC 2026","TestEcoNewsCommentReplies","news_comments_replies_test","",""
"Verify that providing invalid input to count_eco_news_likes returns 400 Bad Request.","70","test_count_eco_news_likes_should_return_400","tests.api.econews_by_id","Thu Mar 12 08:14:55 UTC 2026","passed","Thu Mar 12 08:14:55 UTC 2026","TestEcoNewsByIdLikes","econews_by_id_test","",""
"
    Test goals:
    1. Navigate to 'Create News' page.
    2. Fill title and content.
    3. Verify preview page data (title, text, date, author).
    4. Verify navigation back to the creation page.
","851","Verify news preview content and navigation back to edit","tests.ui.create_news_tests","Thu Mar 12 08:17:18 UTC 2026","passed","Thu Mar 12 08:17:19 UTC 2026","","test_basic_preview_functionality","",""
"
    Verify that when editing a news item, if the user clicks Cancel and confirms,
    all changes are discarded and the original content remains unchanged upon reopening.
    ","1223","Verify that canceling edit discards changes and original content remains","tests.ui.edit_news_tests","Thu Mar 12 08:19:34 UTC 2026","passed","Thu Mar 12 08:19:35 UTC 2026","","test_cancel_editing","",""
" Verify that the 'Edit news' button is NOT visible for news created by another user. ","10131","Verify that the 'Edit news' button is not visible for news created by other users","tests.ui.edit_news_tests","Thu Mar 12 08:18:24 UTC 2026","passed","Thu Mar 12 08:18:34 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"Verify that a comment can be retrieved by its ID.","82","Get comment by ID","tests.api.econews_comment","Thu Mar 12 08:15:02 UTC 2026","passed","Thu Mar 12 08:15:02 UTC 2026","TestNewsComments","news_comments_api_test","",""
"Verify that deleting a non-existing EcoNews returns 404 Not Found","254","test_delete_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Thu Mar 12 08:14:52 UTC 2026","passed","Thu Mar 12 08:14:52 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"","153","Verify that active replies for a comment can be retrieved when page size is set to 1.","tests.api.econews_comment","Thu Mar 12 08:15:04 UTC 2026","passed","Thu Mar 12 08:15:05 UTC 2026","TestEcoNewsCommentReplies","news_comments_replies_test","",""
"Test that adding the same news item to favorites twice results in an error.","147","Add the same news twice - Error 400","tests.api.econews_by_id","Thu Mar 12 08:14:58 UTC 2026","passed","Thu Mar 12 08:14:58 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"
    Verify that the user can navigate from Home page to News page
    and back to Home page using logo.
    ","459","Verify main navigation links work correctly","tests.ui","Thu Mar 12 08:19:47 UTC 2026","passed","Thu Mar 12 08:19:47 UTC 2026","","test_stub","",""
"
        Verify that uploading an image larger than 10MB displays a validation error
        and the image is not loaded.
        ","10311","Validation of error message when uploading an image larger than 10MB","tests.ui.create_news_tests","Thu Mar 12 08:17:29 UTC 2026","passed","Thu Mar 12 08:17:39 UTC 2026","TestUploadImage","upload_image_test","",""
