"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test: Like a comment.","402","test_like_comment","tests.api","Thu Mar 05 16:16:16 UTC 2026","passed","Thu Mar 05 16:16:16 UTC 2026","TestNewsComments","news_comments_test","",""
"Verify that the Create News form contains the particular fields.","6226","test_verify_create_news_form_fields_visibility[chrome-Language.EN]","tests.ui.create_news_tests","Thu Mar 05 16:16:40 UTC 2026","passed","Thu Mar 05 16:16:46 UTC 2026","","create_news_form_visibility_test","",""
"Verify max 3 tags selectable behavior","1659","test_four_tags_selection_blocked[chrome]","tests.ui","Thu Mar 05 16:19:32 UTC 2026","passed","Thu Mar 05 16:19:34 UTC 2026","TestTagSelection","tag_selection_test","",""
"","220","test_get_tags","tests.api","Thu Mar 05 16:16:19 UTC 2026","passed","Thu Mar 05 16:16:19 UTC 2026","","test_get_tags","",""
"Verify that requesting a non-existing EcoNews returns 404 status code.","242","test_get_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Thu Mar 05 16:16:07 UTC 2026","passed","Thu Mar 05 16:16:07 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"","332","test_get_news_success","tests.api","Thu Mar 05 16:16:18 UTC 2026","passed","Thu Mar 05 16:16:19 UTC 2026","","test_create_news_success","",""
"Verify Create News publishing with multiple tags in different locales","1925","test_tag_selection[chrome-Language.UK]","tests.ui","Thu Mar 05 16:19:49 UTC 2026","passed","Thu Mar 05 16:19:51 UTC 2026","TestTagSelection","tag_selection_test","",""
"","2653","test_create_and_delete_news[chrome]","tests.ui","Thu Mar 05 16:18:07 UTC 2026","broken","Thu Mar 05 16:18:09 UTC 2026","","delete_news_test","",""
"Checks that the count of recommended cards equals 3","0","Verify that 3 recommended news cards are displayed","tests.ui","Thu Mar 05 16:20:16 UTC 2026","skipped","Thu Mar 05 16:20:16 UTC 2026","TestNewsDetails","test_news_details","",""
"","0","Verify navigation and UI state","tests.ui","Thu Mar 05 16:20:16 UTC 2026","skipped","Thu Mar 05 16:20:16 UTC 2026","TestNewsDetails","test_news_details","",""
"","502","Add the same news twice - Error 400","tests.api.econews_by_id","Thu Mar 05 16:16:13 UTC 2026","passed","Thu Mar 05 16:16:13 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"Verify that deleting a non-existing EcoNews returns 404 Not Found","275","test_delete_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Thu Mar 05 16:16:05 UTC 2026","passed","Thu Mar 05 16:16:05 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"","2715","test_base_navigate[chrome]","tests.ui","Thu Mar 05 16:20:19 UTC 2026","passed","Thu Mar 05 16:20:21 UTC 2026","","test_stub","",""
"Verify that the Edit News page disables the Edit button and highlights the title field when the title is empty","561","test_empty_title_field[chrome]","tests.ui.edit_news_tests","Thu Mar 05 16:19:26 UTC 2026","passed","Thu Mar 05 16:19:26 UTC 2026","","empty_title_validation_test","",""
