"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the Create News form contains the particular fields.","7720","test_verify_edit_news_form_fields_visibility[Language.EN-chrome]","tests.ui.edit_news_tests","Tue Mar 03 13:58:23 UTC 2026","broken","Tue Mar 03 13:58:31 UTC 2026","","edit_news_form_visibility_test","",""
"Checks that the count of recommended cards equals 3","0","Verify that 3 recommended news cards are displayed","tests.ui","Tue Mar 03 13:59:36 UTC 2026","skipped","Tue Mar 03 13:59:36 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that the Create News form contains the particular fields.","3923","test_verify_create_news_form_fields_visibility[chrome-Language.EN]","tests.ui.create_news_tests","Tue Mar 03 13:56:48 UTC 2026","broken","Tue Mar 03 13:56:52 UTC 2026","","create_news_form_visibility_test","",""
"Verify that the Create News form contains the particular fields.","4181","test_verify_create_news_form_fields_visibility[chrome-Language.UK]","tests.ui.create_news_tests","Tue Mar 03 13:56:57 UTC 2026","broken","Tue Mar 03 13:57:01 UTC 2026","","create_news_form_visibility_test","",""
"","2879","test_title_field_validation[chrome]","tests.ui.create_news_tests","Tue Mar 03 13:57:34 UTC 2026","passed","Tue Mar 03 13:57:37 UTC 2026","","title_field_validation_test","",""
"Verify Create News publishing with multiple tags in different locales","1710","test_tag_selection[chrome-Language.UK]","tests.ui","Tue Mar 03 13:59:21 UTC 2026","passed","Tue Mar 03 13:59:23 UTC 2026","TestTagSelection","tag_selection_test","",""
"","4","test_greencity_is_work[chrome]","tests.ui","Tue Mar 03 13:59:38 UTC 2026","passed","Tue Mar 03 13:59:38 UTC 2026","","test_stub","",""
"Verify that clicking the Cancel button triggers a confirmation modal, and selecting 'Yes, cancel' closes the form and redirects away","1234","test_cancel_button_behavior[chrome]","tests.ui.create_news_tests","Tue Mar 03 13:56:42 UTC 2026","passed","Tue Mar 03 13:56:44 UTC 2026","","cancel_creating_test","",""
"","1182","Check selection of three tags","tests.ui.create_news_tests","Tue Mar 03 13:57:14 UTC 2026","failed","Tue Mar 03 13:57:15 UTC 2026","TestTagSelection","tag_selection_test","",""
"","1012","Check selection of one tag","tests.ui.create_news_tests","Tue Mar 03 13:57:07 UTC 2026","failed","Tue Mar 03 13:57:08 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the 'Edit news' button is not visible for news created by other users","10220","test_edit_button_not_visible_to_other_users[chrome]","tests.ui.edit_news_tests","Tue Mar 03 13:58:06 UTC 2026","passed","Tue Mar 03 13:58:16 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"","0","Verify news details elements and content","tests.ui","Tue Mar 03 13:59:36 UTC 2026","skipped","Tue Mar 03 13:59:36 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify Create News publishing with multiple tags in different locales","1589","test_tag_selection[chrome-Language.EN]","tests.ui","Tue Mar 03 13:59:14 UTC 2026","passed","Tue Mar 03 13:59:16 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the Create News form contains the particular fields.","7944","test_verify_edit_news_form_fields_visibility[Language.UK-chrome]","tests.ui.edit_news_tests","Tue Mar 03 13:58:38 UTC 2026","broken","Tue Mar 03 13:58:46 UTC 2026","","edit_news_form_visibility_test","",""
"","0","Verify 'Recommended News' section title","tests.ui","Tue Mar 03 13:59:36 UTC 2026","skipped","Tue Mar 03 13:59:36 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that the Edit News page disables the Edit button and highlights the title field when the title is empty","527","test_empty_title_field[chrome]","tests.ui.edit_news_tests","Tue Mar 03 13:59:02 UTC 2026","passed","Tue Mar 03 13:59:03 UTC 2026","","empty_title_validation_test","",""
"The test checks validation error when uploading a GIF image (unsupported format)","10095","test_img_upload_gif_negative[chrome]","tests.ui.create_news_tests","Tue Mar 03 13:57:48 UTC 2026","passed","Tue Mar 03 13:57:58 UTC 2026","TestUploadImage","upload_image_test","",""
"Verify creating news with single tag","1262","test_single_tag_selection[chrome]","tests.ui","Tue Mar 03 13:59:28 UTC 2026","passed","Tue Mar 03 13:59:29 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the author can edit their own news and the changes are saved","2574","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Tue Mar 03 13:58:52 UTC 2026","passed","Tue Mar 03 13:58:55 UTC 2026","","edit_own_news_test","",""
"","744","Verify that selecting a 4th tag is blocked","tests.ui.create_news_tests","Tue Mar 03 13:57:21 UTC 2026","broken","Tue Mar 03 13:57:21 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the 'Edit news' button is visible only to the author of the news","53","test_edit_button_visible_to_author[chrome]","tests.ui.edit_news_tests","Tue Mar 03 13:58:04 UTC 2026","passed","Tue Mar 03 13:58:04 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"The test checks successful validation when uploading a valid PNG image","159","test_img_upload_positive[chrome]","tests.ui.create_news_tests","Tue Mar 03 13:57:42 UTC 2026","passed","Tue Mar 03 13:57:42 UTC 2026","TestUploadImage","upload_image_test","",""
"Verify max 3 tags selectable behavior","1631","test_four_tags_selection_blocked[chrome]","tests.ui","Tue Mar 03 13:59:07 UTC 2026","passed","Tue Mar 03 13:59:09 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify creating news with three tags","1525","test_three_tags_selection[chrome]","tests.ui","Tue Mar 03 13:59:34 UTC 2026","passed","Tue Mar 03 13:59:35 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify like functionality","tests.ui","Tue Mar 03 13:59:36 UTC 2026","skipped","Tue Mar 03 13:59:36 UTC 2026","TestNewsDetails","test_news_details","",""
"","439","test_base_navigate[chrome]","tests.ui","Tue Mar 03 13:59:41 UTC 2026","passed","Tue Mar 03 13:59:41 UTC 2026","","test_stub","",""
"","0","Verify navigation to a recommended news card","tests.ui","Tue Mar 03 13:59:36 UTC 2026","skipped","Tue Mar 03 13:59:36 UTC 2026","TestNewsDetails","test_news_details","",""
"","0","Verify navigation and UI state","tests.ui","Tue Mar 03 13:59:36 UTC 2026","skipped","Tue Mar 03 13:59:36 UTC 2026","TestNewsDetails","test_news_details","",""
