"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that EcoNews can be successfully retrieved by ID.","105","test_get_eco_news_by_id","tests.api.econews_by_id","Fri Mar 06 10:53:49 UTC 2026","passed","Fri Mar 06 10:53:49 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"","1143","Check selection of one tag","tests.ui.create_news_tests","Fri Mar 06 10:54:44 UTC 2026","failed","Fri Mar 06 10:54:45 UTC 2026","TestTagSelection","tag_selection_test","",""
"Test: Add a comment to eco news.","266","test_add_comment_to_eco_news","tests.api","Fri Mar 06 10:53:53 UTC 2026","passed","Fri Mar 06 10:53:53 UTC 2026","TestNewsComments","news_comments_test","",""
"Verify that the 'Edit news' button is not visible for news created by other users","10299","test_edit_button_not_visible_to_other_users[chrome]","tests.ui.edit_news_tests","Fri Mar 06 10:55:52 UTC 2026","passed","Fri Mar 06 10:56:03 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"","220","test_get_news_success","tests.api","Fri Mar 06 10:53:57 UTC 2026","passed","Fri Mar 06 10:53:57 UTC 2026","","test_create_news_success","",""
"Verify that the author can edit their own news and the changes are saved","2803","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Fri Mar 06 10:56:47 UTC 2026","failed","Fri Mar 06 10:56:50 UTC 2026","","edit_own_news_test","",""
"Verify creating news with single tag","1464","test_single_tag_selection[chrome]","tests.ui","Fri Mar 06 10:57:25 UTC 2026","passed","Fri Mar 06 10:57:26 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify 'Recommended News' section title","tests.ui","Fri Mar 06 10:57:47 UTC 2026","skipped","Fri Mar 06 10:57:47 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that requesting a non-existing EcoNews returns 404 status code.","97","test_get_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Fri Mar 06 10:53:49 UTC 2026","passed","Fri Mar 06 10:53:49 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"","1342","test_cancel_editing_discards_changes[chrome]","tests.ui","Fri Mar 06 10:57:45 UTC 2026","passed","Fri Mar 06 10:57:47 UTC 2026","","test_cancel_editing","",""
