"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a valid PNG image is being uploaded.","205","The test checks successful validation when uploading a valid PNG image","tests.ui.create_news_tests","Sat Mar 07 11:54:53 UTC 2026","passed","Sat Mar 07 11:54:54 UTC 2026","TestUploadImage","upload_image_test","",""
"Verify that the Edit News page disables the Edit button and highlights the title field when the title is empty","590","test_empty_title_field[chrome]","tests.ui.edit_news_tests","Sat Mar 07 11:56:38 UTC 2026","passed","Sat Mar 07 11:56:38 UTC 2026","","empty_title_validation_test","",""
"Verify that a user can like a comment.","350","Like comment","tests.api.econews_comment","Sat Mar 07 11:51:58 UTC 2026","passed","Sat Mar 07 11:51:58 UTC 2026","TestNewsComments","news_comments_api_test","",""
"
        Verify that uploading an image larger than 10MB displays a validation error
        and the image is not loaded.
        ","10351","Validation of error message when uploading an image larger than 10MB","tests.ui.create_news_tests","Sat Mar 07 11:54:36 UTC 2026","passed","Sat Mar 07 11:54:47 UTC 2026","TestUploadImage","upload_image_test","",""
"
    Verify that an author can create a news article, view it in the news list,
    and delete it, ensuring it is no longer accessible afterwards.
    ","5350","Verify that an author can create a news article and delete it successfully","tests.ui","Sat Mar 07 11:55:16 UTC 2026","passed","Sat Mar 07 11:55:21 UTC 2026","","delete_news_test","",""
"Test checks selection of three tags.","1681","Check selection of three tags","tests.ui.create_news_tests","Sat Mar 07 11:53:24 UTC 2026","passed","Sat Mar 07 11:53:26 UTC 2026","TestTagSelection","tag_selection_test","",""
"
    Verify that the user can cancel the EcoNews creation process.

    Steps:
    1. Open the Create News page and switch language to English.
    2. Fill in the news title and content.
    3. Click the Cancel button.
    4. Verify that the cancellation confirmation modal appears.
    5. Verify the modal text content.
    6. Confirm cancellation.
    7. Verify that the user is redirected away from the Create News page.
    ","1304","Verify cancel button behavior and redirection after confirmation","tests.ui.create_news_tests","Sat Mar 07 11:52:17 UTC 2026","passed","Sat Mar 07 11:52:18 UTC 2026","","cancel_creating_test","",""
"Test that adding the same news item to favorites twice results in an error.","526","Add the same news twice - Error 400","tests.api.econews_by_id","Sat Mar 07 11:51:52 UTC 2026","passed","Sat Mar 07 11:51:53 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"
        Test publishing news with predefined NewsTestData for one or multiple tags.
        Language param selects English ('en') or Ukrainian ('ua') data.
        ","2045","Verify Create News publishing with multiple tags in different locales","tests.ui.create_news_tests","Sat Mar 07 11:53:49 UTC 2026","passed","Sat Mar 07 11:53:51 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that an authorized user can successfully delete an existing EcoNews item","1130","test_delete_eco_news_by_id","tests.api.econews_by_id","Sat Mar 07 11:51:43 UTC 2026","passed","Sat Mar 07 11:51:44 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"
    Verify that when editing a news item, if the user clicks Cancel and confirms,
    all changes are discarded and the original content remains unchanged upon reopening.
    ","1344","Verify that canceling edit discards changes and original content remains","tests.ui.edit_news_tests","Sat Mar 07 11:56:46 UTC 2026","passed","Sat Mar 07 11:56:47 UTC 2026","","test_cancel_editing","",""
"Verify that a comment dislike status toggles correctly.","593","Verify that a comment dislike status toggles correctly","tests.api.econews_comment","Sat Mar 07 11:51:55 UTC 2026","passed","Sat Mar 07 11:51:55 UTC 2026","","news_comments_api_test","",""
" Verify that the 'Edit news' button is visible and enabled only to the author of the news. ","70","Verify that the 'Edit news' button is visible only to the author of the news","tests.ui.edit_news_tests","Sat Mar 07 11:55:30 UTC 2026","passed","Sat Mar 07 11:55:30 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
