"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that updating EcoNews without providing an image works correctly","400","test_update_eco_news_by_id_without_image","tests.api.econews_by_id","Fri Mar 06 09:43:21 UTC 2026","passed","Fri Mar 06 09:43:21 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"","0","Check selection of three tags","tests.ui.create_news_tests","Fri Mar 06 09:43:56 UTC 2026","broken","Fri Mar 06 09:43:56 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the Create News form contains the particular fields.","0","test_verify_create_news_form_fields_visibility[chrome-Language.UK]","tests.ui.create_news_tests","Fri Mar 06 09:43:50 UTC 2026","broken","Fri Mar 06 09:43:50 UTC 2026","","create_news_form_visibility_test","",""
"The test checks validation error when uploading a GIF image (unsupported format)","0","test_img_upload_gif_negative[chrome]","tests.ui.create_news_tests","Fri Mar 06 09:44:08 UTC 2026","broken","Fri Mar 06 09:44:08 UTC 2026","TestUploadImage","upload_image_test","",""
"Verify that the author can edit their own news and the changes are saved","0","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Fri Mar 06 09:44:23 UTC 2026","broken","Fri Mar 06 09:44:23 UTC 2026","","edit_own_news_test","",""
"","466","test_api_is_work","tests.api","Fri Mar 06 09:43:19 UTC 2026","passed","Fri Mar 06 09:43:19 UTC 2026","","base_api_test","",""
"Verify that deleting EcoNews without authorization returns 401 status code.","322","test_delete_eco_news_by_id_without_token","tests.api.econews_by_id","Fri Mar 06 09:43:20 UTC 2026","passed","Fri Mar 06 09:43:20 UTC 2026","TestUnauthorizedEcoNewsById","econews_by_id_test","",""
"","0","Verify 'Recommended News' section title","tests.ui","Fri Mar 06 09:44:44 UTC 2026","skipped","Fri Mar 06 09:44:44 UTC 2026","TestNewsDetails","test_news_details","",""
"The test checks successful validation when uploading a valid PNG image","0","test_img_upload_positive[chrome]","tests.ui.create_news_tests","Fri Mar 06 09:44:06 UTC 2026","broken","Fri Mar 06 09:44:06 UTC 2026","TestUploadImage","upload_image_test","",""
"Verify that the Create News form contains the particular fields.","0","test_verify_edit_news_form_fields_visibility[Language.EN-chrome]","tests.ui.edit_news_tests","Fri Mar 06 09:44:19 UTC 2026","broken","Fri Mar 06 09:44:19 UTC 2026","","edit_news_form_visibility_test","",""
"","0","test_create_and_delete_news[chrome]","tests.ui","Fri Mar 06 09:44:11 UTC 2026","broken","Fri Mar 06 09:44:11 UTC 2026","","delete_news_test","",""
"","236","Add the same news twice - Error 400","tests.api.econews_by_id","Fri Mar 06 09:43:25 UTC 2026","passed","Fri Mar 06 09:43:26 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
