"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1496","test_base_navigate[chrome]","tests.ui","Tue Mar 03 14:09:53 UTC 2026","passed","Tue Mar 03 14:09:54 UTC 2026","","test_stub","",""
"","0","Verify news details elements and content","tests.ui","Tue Mar 03 14:09:47 UTC 2026","skipped","Tue Mar 03 14:09:47 UTC 2026","TestNewsDetails","test_news_details","",""
"The test checks successful validation when uploading a valid PNG image","178","test_img_upload_positive[chrome]","tests.ui.create_news_tests","Tue Mar 03 14:07:46 UTC 2026","passed","Tue Mar 03 14:07:46 UTC 2026","TestUploadImage","upload_image_test","",""
"","0","Verify like functionality","tests.ui","Tue Mar 03 14:09:47 UTC 2026","skipped","Tue Mar 03 14:09:47 UTC 2026","TestNewsDetails","test_news_details","",""
"Checks that the count of recommended cards equals 3","0","Verify that 3 recommended news cards are displayed","tests.ui","Tue Mar 03 14:09:47 UTC 2026","skipped","Tue Mar 03 14:09:47 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify creating news with single tag","1450","test_single_tag_selection[chrome]","tests.ui","Tue Mar 03 14:09:39 UTC 2026","passed","Tue Mar 03 14:09:40 UTC 2026","TestTagSelection","tag_selection_test","",""
"","1141","Check selection of one tag","tests.ui.create_news_tests","Tue Mar 03 14:07:19 UTC 2026","failed","Tue Mar 03 14:07:20 UTC 2026","TestTagSelection","tag_selection_test","",""
"","1446","Check selection of three tags","tests.ui.create_news_tests","Tue Mar 03 14:07:26 UTC 2026","failed","Tue Mar 03 14:07:28 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify 'Recommended News' section title","tests.ui","Tue Mar 03 14:09:47 UTC 2026","skipped","Tue Mar 03 14:09:47 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify Create News publishing with multiple tags in different locales","1768","test_tag_selection[chrome-Language.EN]","tests.ui","Tue Mar 03 14:09:24 UTC 2026","passed","Tue Mar 03 14:09:25 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the Create News form contains the particular fields.","8203","test_verify_edit_news_form_fields_visibility[Language.EN-chrome]","tests.ui.edit_news_tests","Tue Mar 03 14:08:30 UTC 2026","broken","Tue Mar 03 14:08:38 UTC 2026","","edit_news_form_visibility_test","",""
"Verify that the 'Edit news' button is not visible for news created by other users","11151","test_edit_button_not_visible_to_other_users[chrome]","tests.ui.edit_news_tests","Tue Mar 03 14:08:10 UTC 2026","passed","Tue Mar 03 14:08:22 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"","0","Verify navigation to a recommended news card","tests.ui","Tue Mar 03 14:09:47 UTC 2026","skipped","Tue Mar 03 14:09:47 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that the Create News form contains the particular fields.","4444","test_verify_create_news_form_fields_visibility[chrome-Language.EN]","tests.ui.create_news_tests","Tue Mar 03 14:06:58 UTC 2026","broken","Tue Mar 03 14:07:03 UTC 2026","","create_news_form_visibility_test","",""
"","0","Verify navigation and UI state","tests.ui","Tue Mar 03 14:09:47 UTC 2026","skipped","Tue Mar 03 14:09:47 UTC 2026","TestNewsDetails","test_news_details","",""
"The test checks validation error when uploading a GIF image (unsupported format)","10104","test_img_upload_gif_negative[chrome]","tests.ui.create_news_tests","Tue Mar 03 14:07:51 UTC 2026","passed","Tue Mar 03 14:08:01 UTC 2026","TestUploadImage","upload_image_test","",""
"Verify that the Create News form contains the particular fields.","8254","test_verify_edit_news_form_fields_visibility[Language.UK-chrome]","tests.ui.edit_news_tests","Tue Mar 03 14:08:46 UTC 2026","broken","Tue Mar 03 14:08:54 UTC 2026","","edit_news_form_visibility_test","",""
