"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","708","test_api_is_work","tests.api","Wed Mar 04 21:15:20 UTC 2026","passed","Wed Mar 04 21:15:21 UTC 2026","","base_api_test","",""
"","1344","Check selection of three tags","tests.ui.create_news_tests","Wed Mar 04 21:16:20 UTC 2026","failed","Wed Mar 04 21:16:21 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify navigation to a recommended news card","tests.ui","Wed Mar 04 21:18:59 UTC 2026","skipped","Wed Mar 04 21:18:59 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that the 'Edit news' button is not visible for news created by other users","11230","test_edit_button_not_visible_to_other_users[chrome]","tests.ui.edit_news_tests","Wed Mar 04 21:17:12 UTC 2026","passed","Wed Mar 04 21:17:23 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"Verify creating news with single tag","1487","test_single_tag_selection[chrome]","tests.ui","Wed Mar 04 21:18:42 UTC 2026","passed","Wed Mar 04 21:18:44 UTC 2026","TestTagSelection","tag_selection_test","",""
"","1071","Check selection of one tag","tests.ui.create_news_tests","Wed Mar 04 21:16:13 UTC 2026","failed","Wed Mar 04 21:16:14 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify Create News publishing with multiple tags in different locales","1678","test_tag_selection[chrome-Language.EN]","tests.ui","Wed Mar 04 21:18:27 UTC 2026","passed","Wed Mar 04 21:18:29 UTC 2026","TestTagSelection","tag_selection_test","",""
"","2158","test_source_field_validation[chrome]","tests.ui.create_news_tests","Wed Mar 04 21:16:34 UTC 2026","passed","Wed Mar 04 21:16:36 UTC 2026","","test_source_field","",""
"","0","Verify news details elements and content","tests.ui","Wed Mar 04 21:18:59 UTC 2026","skipped","Wed Mar 04 21:18:59 UTC 2026","TestNewsDetails","test_news_details","",""
"The test checks successful validation when uploading a valid PNG image","168","test_img_upload_positive[chrome]","tests.ui.create_news_tests","Wed Mar 04 21:16:45 UTC 2026","passed","Wed Mar 04 21:16:46 UTC 2026","TestUploadImage","upload_image_test","",""
"","0","Verify like functionality","tests.ui","Wed Mar 04 21:18:59 UTC 2026","skipped","Wed Mar 04 21:18:59 UTC 2026","TestNewsDetails","test_news_details","",""
"","431","test_base_navigate[chrome]","tests.ui","Wed Mar 04 21:19:04 UTC 2026","passed","Wed Mar 04 21:19:04 UTC 2026","","test_stub","",""
"Verify that the Edit News page disables the Edit button and highlights the title field when the title is empty","542","test_empty_title_field[chrome]","tests.ui.edit_news_tests","Wed Mar 04 21:18:14 UTC 2026","passed","Wed Mar 04 21:18:15 UTC 2026","","empty_title_validation_test","",""
"","1267","test_cancel_editing_discards_changes[chrome]","tests.ui","Wed Mar 04 21:18:57 UTC 2026","passed","Wed Mar 04 21:18:59 UTC 2026","","test_cancel_editing","",""
"","13","test_greencity_is_work[chrome]","tests.ui","Wed Mar 04 21:19:01 UTC 2026","passed","Wed Mar 04 21:19:01 UTC 2026","","test_stub","",""
"Verify max 3 tags selectable behavior","1618","test_four_tags_selection_blocked[chrome]","tests.ui","Wed Mar 04 21:18:20 UTC 2026","passed","Wed Mar 04 21:18:22 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the Create News form contains the particular fields.","6605","test_verify_create_news_form_fields_visibility[chrome-Language.EN]","tests.ui.create_news_tests","Wed Mar 04 21:15:48 UTC 2026","passed","Wed Mar 04 21:15:55 UTC 2026","","create_news_form_visibility_test","",""
"Verify that the author can edit their own news and the changes are saved","2739","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Wed Mar 04 21:18:04 UTC 2026","passed","Wed Mar 04 21:18:07 UTC 2026","","edit_own_news_test","",""
"Verify that the Create News form contains the particular fields.","10260","test_verify_edit_news_form_fields_visibility[Language.UK-chrome]","tests.ui.edit_news_tests","Wed Mar 04 21:17:47 UTC 2026","passed","Wed Mar 04 21:17:58 UTC 2026","","edit_news_form_visibility_test","",""
