"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that updating EcoNews with invalid id, tag, title, content returns 400 Bad Request","855","test_update_eco_news_by_id_should_return_400","tests.api.econews_by_id","Sun Mar 08 15:31:25 UTC 2026","passed","Sun Mar 08 15:31:26 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"
    Verify that the user can navigate from Home page to News page
    and back to Home page using logo.
    ","426","Verify main navigation links work correctly","tests.ui","Sun Mar 08 15:34:32 UTC 2026","passed","Sun Mar 08 15:34:32 UTC 2026","","test_stub","",""
"Verify that a comment dislike status toggles correctly by another user.","154","Verify that a comment dislike status toggles correctly","tests.api.econews_comment","Sun Mar 08 15:31:30 UTC 2026","passed","Sun Mar 08 15:31:30 UTC 2026","","news_comments_api_test","",""
"Test checks selection of three tags.","1385","Check selection of three tags","tests.ui.create_news_tests","Sun Mar 08 15:32:16 UTC 2026","passed","Sun Mar 08 15:32:17 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that EcoNews can be retrieved in English and Ukrainian using lang parameter.","63","test_get_eco_news_by_lang[en-Title in English should not be null]","tests.api.econews_by_id","Sun Mar 08 15:31:24 UTC 2026","passed","Sun Mar 08 15:31:24 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"
        Test publishing news with predefined NewsTestData for one or multiple tags.
        Language param selects English ('en') or Ukrainian ('ua') data.
        ","1766","Verify Create News publishing with multiple tags in different locales","tests.ui.create_news_tests","Sun Mar 08 15:32:33 UTC 2026","passed","Sun Mar 08 15:32:35 UTC 2026","TestTagSelection","tag_selection_test","",""
" Verify that the 'Edit news' button is visible and enabled only to the author of the news. ","0","Verify that the 'Edit news' button is visible only to the author of the news","tests.ui.edit_news_tests","Sun Mar 08 15:33:29 UTC 2026","broken","Sun Mar 08 15:33:29 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"Test that adding a news item to favorites without authentication returns 401.","46","Attempt to add to favorites without token - Error 401","tests.api.econews_by_id","Sun Mar 08 15:31:29 UTC 2026","passed","Sun Mar 08 15:31:29 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
" Verify that the 'Edit news' button is NOT visible for news created by another user. ","10135","Verify that the 'Edit news' button is not visible for news created by other users","tests.ui.edit_news_tests","Sun Mar 08 15:33:44 UTC 2026","passed","Sun Mar 08 15:33:54 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"
    Verify the validation behavior of the Main Text (content) field in the Create News form.

    Steps:
    1. Login and open Create News page.
    2. Fill required fields except content.
    3. Enter too short content (<20 characters) and verify error message and disabled Publish.
    4. Enter too long content (>63,206 characters) and verify error message and disabled Publish.
    5. Enter valid content (>=20 characters) and verify error disappears and Publish button is enabled.
    6. Click Publish to submit the news.
    ","1639","Validate Main Text field for min/max length and Publish button state","tests.ui.create_news_tests","Sun Mar 08 15:31:54 UTC 2026","passed","Sun Mar 08 15:31:56 UTC 2026","","content_validation_test","",""
