"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify max 3 tags selectable behavior","1545","test_four_tags_selection_blocked[chrome]","tests.ui","Thu Mar 05 09:01:10 UTC 2026","passed","Thu Mar 05 09:01:11 UTC 2026","TestTagSelection","tag_selection_test","",""
"The test checks successful validation when uploading a valid PNG image","155","test_img_upload_positive[chrome]","tests.ui.create_news_tests","Thu Mar 05 08:59:43 UTC 2026","passed","Thu Mar 05 08:59:43 UTC 2026","TestUploadImage","upload_image_test","",""
"","1208","test_cancel_editing_discards_changes[chrome]","tests.ui","Thu Mar 05 09:01:43 UTC 2026","passed","Thu Mar 05 09:01:44 UTC 2026","","test_cancel_editing","",""
"","994","Check selection of one tag","tests.ui.create_news_tests","Thu Mar 05 08:59:14 UTC 2026","failed","Thu Mar 05 08:59:15 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the author can edit their own news and the changes are saved","2665","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Thu Mar 05 09:00:55 UTC 2026","passed","Thu Mar 05 09:00:58 UTC 2026","","edit_own_news_test","",""
"","905","Verify that selecting a 4th tag is blocked","tests.ui.create_news_tests","Thu Mar 05 08:59:26 UTC 2026","passed","Thu Mar 05 08:59:27 UTC 2026","TestTagSelection","tag_selection_test","",""
"","294","test_api_is_work","tests.api","Thu Mar 05 08:58:38 UTC 2026","passed","Thu Mar 05 08:58:38 UTC 2026","","base_api_test","",""
"Verify Create News publishing with multiple tags in different locales","1632","test_tag_selection[chrome-Language.UK]","tests.ui","Thu Mar 05 09:01:22 UTC 2026","passed","Thu Mar 05 09:01:24 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the Create News form contains the particular fields.","9839","test_verify_edit_news_form_fields_visibility[Language.EN-chrome]","tests.ui.edit_news_tests","Thu Mar 05 09:00:22 UTC 2026","passed","Thu Mar 05 09:00:32 UTC 2026","","edit_news_form_visibility_test","",""
"Verify Create News publishing with multiple tags in different locales","1550","test_tag_selection[chrome-Language.EN]","tests.ui","Thu Mar 05 09:01:16 UTC 2026","passed","Thu Mar 05 09:01:18 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify creating news with three tags","1462","test_three_tags_selection[chrome]","tests.ui","Thu Mar 05 09:01:35 UTC 2026","passed","Thu Mar 05 09:01:36 UTC 2026","TestTagSelection","tag_selection_test","",""
