"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the Create News form contains the particular fields.","0","test_verify_create_news_form_fields_visibility[chrome-Language.UK]","tests.ui.create_news_tests","Fri Mar 06 10:10:05 UTC 2026","broken","Fri Mar 06 10:10:05 UTC 2026","","create_news_form_visibility_test","",""
"","0","test_source_field_validation[chrome]","tests.ui.create_news_tests","Fri Mar 06 10:10:18 UTC 2026","broken","Fri Mar 06 10:10:18 UTC 2026","","test_source_field","",""
"Verify that deleting a non-existing EcoNews returns 404 Not Found","122","test_delete_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Fri Mar 06 10:09:47 UTC 2026","passed","Fri Mar 06 10:09:48 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"","0","test_edit_content_not_shorter_than_20_chars_not_accepted[chrome]","tests.ui.create_news_tests","Fri Mar 06 10:10:20 UTC 2026","broken","Fri Mar 06 10:10:20 UTC 2026","","too_short_content_test","",""
"","674","test_create_and_verify_news","tests.api","Fri Mar 06 10:09:57 UTC 2026","passed","Fri Mar 06 10:09:57 UTC 2026","","test_create_news_success","",""
"Verify creating news with three tags","0","test_three_tags_selection[chrome]","tests.ui","Fri Mar 06 10:11:00 UTC 2026","broken","Fri Mar 06 10:11:00 UTC 2026","TestTagSelection","tag_selection_test","",""
"","210","test_get_news_success","tests.api","Fri Mar 06 10:09:57 UTC 2026","passed","Fri Mar 06 10:09:58 UTC 2026","","test_create_news_success","",""
"Test: Add a comment to eco news.","285","test_add_comment_to_eco_news","tests.api.econews_comment","Fri Mar 06 10:09:56 UTC 2026","passed","Fri Mar 06 10:09:56 UTC 2026","TestNewsComments","news_comments_test","",""
"","0","Verify that selecting a 4th tag is blocked","tests.ui.create_news_tests","Fri Mar 06 10:10:15 UTC 2026","broken","Fri Mar 06 10:10:15 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","test_title_field_validation","tests.ui.create_news_tests","Fri Mar 06 10:10:20 UTC 2026","broken","Fri Mar 06 10:10:20 UTC 2026","","title_field_validation_test","",""
"Verify that active replies for a comment can be retrieved successfully without query parameters.","259","test_get_active_replies_default","tests.api.econews_comment","Fri Mar 06 10:09:54 UTC 2026","passed","Fri Mar 06 10:09:54 UTC 2026","TestEcoNewsCommentReplies","news_comments_replies_test","",""
"","0","Verify navigation and UI state","tests.ui","Fri Mar 06 10:11:06 UTC 2026","skipped","Fri Mar 06 10:11:06 UTC 2026","TestNewsDetails","test_news_details","",""
"Checks that the count of recommended cards equals 3","0","Verify that 3 recommended news cards are displayed","tests.ui","Fri Mar 06 10:11:06 UTC 2026","skipped","Fri Mar 06 10:11:06 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that updating EcoNews without authorization returns 401 status code.","330","test_update_eco_news_by_id_without_token","tests.api.econews_by_id","Fri Mar 06 10:09:46 UTC 2026","passed","Fri Mar 06 10:09:46 UTC 2026","TestUnauthorizedEcoNewsById","econews_by_id_test","",""
"Verify creating news with single tag","0","test_single_tag_selection[chrome]","tests.ui","Fri Mar 06 10:10:58 UTC 2026","broken","Fri Mar 06 10:10:58 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Check selection of three tags","tests.ui.create_news_tests","Fri Mar 06 10:10:12 UTC 2026","broken","Fri Mar 06 10:10:12 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the Create News form contains the particular fields.","0","test_verify_create_news_form_fields_visibility[chrome-Language.EN]","tests.ui.create_news_tests","Fri Mar 06 10:10:02 UTC 2026","broken","Fri Mar 06 10:10:02 UTC 2026","","create_news_form_visibility_test","",""
"","0","test_create_and_delete_news[chrome]","tests.ui","Fri Mar 06 10:10:28 UTC 2026","broken","Fri Mar 06 10:10:28 UTC 2026","","delete_news_test","",""
"Verify that updating EcoNews with invalid id, tag, title, content returns 400 Bad Request","891","test_update_eco_news_by_id_should_return_400","tests.api.econews_by_id","Fri Mar 06 10:09:48 UTC 2026","passed","Fri Mar 06 10:09:49 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"","0","Verify navigation to a recommended news card","tests.ui","Fri Mar 06 10:11:06 UTC 2026","skipped","Fri Mar 06 10:11:06 UTC 2026","TestNewsDetails","test_news_details","",""
"","88","Attempt to add to favorites without token - Error 401","tests.api.econews_by_id","Fri Mar 06 10:09:52 UTC 2026","passed","Fri Mar 06 10:09:52 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"","12","test_base_navigate[chrome]","tests.ui","Fri Mar 06 10:11:11 UTC 2026","broken","Fri Mar 06 10:11:11 UTC 2026","","test_stub","",""
"Verify that updating EcoNews with a specific image is successful","446","test_update_eco_news_by_id_with_image","tests.api.econews_by_id","Fri Mar 06 10:09:49 UTC 2026","passed","Fri Mar 06 10:09:50 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Verify that EcoNews can be retrieved in English and Ukrainian using lang parameter.","126","test_get_eco_news_by_lang[en-Title in English should not be null]","tests.api.econews_by_id","Fri Mar 06 10:09:48 UTC 2026","passed","Fri Mar 06 10:09:48 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Test: Delete a comment by its ID.","151","test_delete_comment_by_id","tests.api.econews_comment","Fri Mar 06 10:09:56 UTC 2026","passed","Fri Mar 06 10:09:57 UTC 2026","TestNewsComments","news_comments_test","",""
"","0","Verify 'Recommended News' section title","tests.ui","Fri Mar 06 10:11:06 UTC 2026","skipped","Fri Mar 06 10:11:06 UTC 2026","TestNewsDetails","test_news_details","",""
"","4","test_greencity_is_work[chrome]","tests.ui","Fri Mar 06 10:11:08 UTC 2026","passed","Fri Mar 06 10:11:08 UTC 2026","","test_stub","",""
"Verify that an authorized user can successfully delete an existing EcoNews item","495","test_delete_eco_news_by_id","tests.api.econews_by_id","Fri Mar 06 10:09:47 UTC 2026","passed","Fri Mar 06 10:09:47 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"Verify that the Create News form contains the particular fields.","0","test_verify_edit_news_form_fields_visibility[Language.EN-chrome]","tests.ui.edit_news_tests","Fri Mar 06 10:10:38 UTC 2026","broken","Fri Mar 06 10:10:38 UTC 2026","","edit_news_form_visibility_test","",""
"Test: Get a comment by its ID.","91","test_get_comment_by_id","tests.api.econews_comment","Fri Mar 06 10:09:56 UTC 2026","passed","Fri Mar 06 10:09:56 UTC 2026","TestNewsComments","news_comments_test","",""
"","0","Check selection of one tag","tests.ui.create_news_tests","Fri Mar 06 10:10:09 UTC 2026","broken","Fri Mar 06 10:10:09 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the author can edit their own news and the changes are saved","0","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Fri Mar 06 10:10:43 UTC 2026","broken","Fri Mar 06 10:10:43 UTC 2026","","edit_own_news_test","",""
"Verify that EcoNews can be retrieved in English and Ukrainian using lang parameter.","108","test_get_eco_news_by_lang[uk-Title in Ukrainian should not be null]","tests.api.econews_by_id","Fri Mar 06 10:09:48 UTC 2026","passed","Fri Mar 06 10:09:48 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Verify that updating EcoNews without providing an image works correctly","176","test_update_eco_news_by_id_without_image","tests.api.econews_by_id","Fri Mar 06 10:09:47 UTC 2026","passed","Fri Mar 06 10:09:47 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"Verify that the Create News form contains the particular fields.","0","test_verify_edit_news_form_fields_visibility[Language.UK-chrome]","tests.ui.edit_news_tests","Fri Mar 06 10:10:40 UTC 2026","broken","Fri Mar 06 10:10:40 UTC 2026","","edit_news_form_visibility_test","",""
"","226","Add the same news twice - Error 400","tests.api.econews_by_id","Fri Mar 06 10:09:52 UTC 2026","passed","Fri Mar 06 10:09:52 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"","743","test_api_is_work","tests.api","Fri Mar 06 10:09:44 UTC 2026","passed","Fri Mar 06 10:09:45 UTC 2026","","base_api_test","",""
"The test checks validation error when uploading a GIF image (unsupported format)","0","test_img_upload_gif_negative[chrome]","tests.ui.create_news_tests","Fri Mar 06 10:10:25 UTC 2026","broken","Fri Mar 06 10:10:25 UTC 2026","TestUploadImage","upload_image_test","",""
"Verify max 3 tags selectable behavior","0","test_four_tags_selection_blocked[chrome]","tests.ui","Fri Mar 06 10:10:48 UTC 2026","broken","Fri Mar 06 10:10:48 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that requesting a non-existing EcoNews returns 404 status code.","109","test_get_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Fri Mar 06 10:09:48 UTC 2026","passed","Fri Mar 06 10:09:48 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Verify that the Edit News page disables the Edit button and highlights the title field when the title is empty","0","test_empty_title_field[chrome]","tests.ui.edit_news_tests","Fri Mar 06 10:10:46 UTC 2026","broken","Fri Mar 06 10:10:46 UTC 2026","","empty_title_validation_test","",""
"","493","Add and remove news from favorites (Authorized)","tests.api.econews_by_id","Fri Mar 06 10:09:50 UTC 2026","passed","Fri Mar 06 10:09:51 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"The test checks successful validation when uploading a valid PNG image","0","test_img_upload_positive[chrome]","tests.ui.create_news_tests","Fri Mar 06 10:10:23 UTC 2026","broken","Fri Mar 06 10:10:23 UTC 2026","TestUploadImage","upload_image_test","",""
"Verify that the 'Edit news' button is not visible for news created by other users","920","test_edit_button_not_visible_to_other_users[chrome]","tests.ui.edit_news_tests","Fri Mar 06 10:10:37 UTC 2026","broken","Fri Mar 06 10:10:38 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"Verify that clicking the Cancel button triggers a confirmation modal, and selecting 'Yes, cancel' closes the form and redirects away","0","test_cancel_button_behavior[chrome]","tests.ui.create_news_tests","Fri Mar 06 10:09:58 UTC 2026","broken","Fri Mar 06 10:09:58 UTC 2026","","cancel_creating_test","",""
"Verify that deleting EcoNews without authorization returns 401 status code.","282","test_delete_eco_news_by_id_without_token","tests.api.econews_by_id","Fri Mar 06 10:09:46 UTC 2026","passed","Fri Mar 06 10:09:46 UTC 2026","TestUnauthorizedEcoNewsById","econews_by_id_test","",""
"Test: Like a comment.","176","test_like_comment","tests.api.econews_comment","Fri Mar 06 10:09:56 UTC 2026","passed","Fri Mar 06 10:09:56 UTC 2026","TestNewsComments","news_comments_test","",""
"Verify Create News publishing with multiple tags in different locales","0","test_tag_selection[chrome-Language.EN]","tests.ui","Fri Mar 06 10:10:51 UTC 2026","broken","Fri Mar 06 10:10:51 UTC 2026","TestTagSelection","tag_selection_test","",""
"","104","test_get_tags","tests.api","Fri Mar 06 10:09:58 UTC 2026","passed","Fri Mar 06 10:09:58 UTC 2026","","test_get_tags","",""
"","0","test_cancel_editing_discards_changes[chrome]","tests.ui","Fri Mar 06 10:11:03 UTC 2026","broken","Fri Mar 06 10:11:03 UTC 2026","","test_cancel_editing","",""
"","0","Verify like functionality","tests.ui","Fri Mar 06 10:11:06 UTC 2026","skipped","Fri Mar 06 10:11:06 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify Create News publishing with multiple tags in different locales","0","test_tag_selection[chrome-Language.UK]","tests.ui","Fri Mar 06 10:10:55 UTC 2026","broken","Fri Mar 06 10:10:55 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify news details elements and content","tests.ui","Fri Mar 06 10:11:06 UTC 2026","skipped","Fri Mar 06 10:11:06 UTC 2026","TestNewsDetails","test_news_details","",""
