"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that clicking the Cancel button triggers a confirmation modal, and selecting 'Yes, cancel' closes the form and redirects away","1262","test_cancel_button_behavior[chrome]","tests.ui.create_news_tests","Thu Mar 05 12:24:22 UTC 2026","passed","Thu Mar 05 12:24:23 UTC 2026","","cancel_creating_test","",""
"Verify that EcoNews can be retrieved in English and Ukrainian using lang parameter.","64","test_get_eco_news_by_lang[uk-Title in Ukrainian should not be null]","tests.api.econews_by_id","Thu Mar 05 12:24:02 UTC 2026","passed","Thu Mar 05 12:24:02 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"","370","test_api_is_work","tests.api","Thu Mar 05 12:23:59 UTC 2026","passed","Thu Mar 05 12:23:59 UTC 2026","","base_api_test","",""
"","0","Verify like functionality","tests.ui","Thu Mar 05 12:27:22 UTC 2026","skipped","Thu Mar 05 12:27:22 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that the Create News form contains the particular fields.","6004","test_verify_create_news_form_fields_visibility[chrome-Language.EN]","tests.ui.create_news_tests","Thu Mar 05 12:24:29 UTC 2026","passed","Thu Mar 05 12:24:35 UTC 2026","","create_news_form_visibility_test","",""
"Verify that updating EcoNews with a specific image is successful","491","test_update_eco_news_by_id_with_image","tests.api.econews_by_id","Thu Mar 05 12:24:02 UTC 2026","passed","Thu Mar 05 12:24:03 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Verify Create News publishing with multiple tags in different locales","1537","test_tag_selection[chrome-Language.EN]","tests.ui","Thu Mar 05 12:26:55 UTC 2026","passed","Thu Mar 05 12:26:56 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify creating news with single tag","1290","test_single_tag_selection[chrome]","tests.ui","Thu Mar 05 12:27:07 UTC 2026","passed","Thu Mar 05 12:27:08 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that deleting a non-existing EcoNews returns 404 Not Found","64","test_delete_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Thu Mar 05 12:24:01 UTC 2026","passed","Thu Mar 05 12:24:01 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"Verify that the 'Edit news' button is not visible for news created by other users","10295","test_edit_button_not_visible_to_other_users[chrome]","tests.ui.edit_news_tests","Thu Mar 05 12:25:46 UTC 2026","passed","Thu Mar 05 12:25:56 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"Verify that the 'Edit news' button is visible only to the author of the news","50","test_edit_button_visible_to_author[chrome]","tests.ui.edit_news_tests","Thu Mar 05 12:25:43 UTC 2026","passed","Thu Mar 05 12:25:43 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"Verify that deleting EcoNews without authorization returns 401 status code.","217","test_delete_eco_news_by_id_without_token","tests.api.econews_by_id","Thu Mar 05 12:24:00 UTC 2026","passed","Thu Mar 05 12:24:00 UTC 2026","TestUnauthorizedEcoNewsById","econews_by_id_test","",""
"","1995","test_source_field_validation[chrome]","tests.ui.create_news_tests","Thu Mar 05 12:25:11 UTC 2026","passed","Thu Mar 05 12:25:13 UTC 2026","","test_source_field","",""
"Checks that the count of recommended cards equals 3","0","Verify that 3 recommended news cards are displayed","tests.ui","Thu Mar 05 12:27:22 UTC 2026","skipped","Thu Mar 05 12:27:22 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that updating EcoNews without providing an image works correctly","512","test_update_eco_news_by_id_without_image","tests.api.econews_by_id","Thu Mar 05 12:24:00 UTC 2026","passed","Thu Mar 05 12:24:01 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"","0","Verify navigation to a recommended news card","tests.ui","Thu Mar 05 12:27:22 UTC 2026","skipped","Thu Mar 05 12:27:22 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that the Create News form contains the particular fields.","9418","test_verify_edit_news_form_fields_visibility[Language.EN-chrome]","tests.ui.edit_news_tests","Thu Mar 05 12:26:03 UTC 2026","passed","Thu Mar 05 12:26:12 UTC 2026","","edit_news_form_visibility_test","",""
"Verify max 3 tags selectable behavior","1505","test_four_tags_selection_blocked[chrome]","tests.ui","Thu Mar 05 12:26:48 UTC 2026","passed","Thu Mar 05 12:26:49 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that EcoNews can be successfully retrieved by ID.","179","test_get_eco_news_by_id","tests.api.econews_by_id","Thu Mar 05 12:24:02 UTC 2026","passed","Thu Mar 05 12:24:02 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"The test checks successful validation when uploading a valid PNG image","152","test_img_upload_positive[chrome]","tests.ui.create_news_tests","Thu Mar 05 12:25:21 UTC 2026","passed","Thu Mar 05 12:25:21 UTC 2026","TestUploadImage","upload_image_test","",""
"Verify that the author can edit their own news and the changes are saved","2454","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Thu Mar 05 12:26:34 UTC 2026","passed","Thu Mar 05 12:26:37 UTC 2026","","edit_own_news_test","",""
"Verify creating news with three tags","1429","test_three_tags_selection[chrome]","tests.ui","Thu Mar 05 12:27:14 UTC 2026","passed","Thu Mar 05 12:27:15 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify news details elements and content","tests.ui","Thu Mar 05 12:27:22 UTC 2026","skipped","Thu Mar 05 12:27:22 UTC 2026","TestNewsDetails","test_news_details","",""
"","415","test_base_navigate[chrome]","tests.ui","Thu Mar 05 12:27:27 UTC 2026","passed","Thu Mar 05 12:27:27 UTC 2026","","test_stub","",""
"","900","Verify that selecting a 4th tag is blocked","tests.ui.create_news_tests","Thu Mar 05 12:25:04 UTC 2026","passed","Thu Mar 05 12:25:05 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that an authorized user can successfully delete an existing EcoNews item","348","test_delete_eco_news_by_id","tests.api.econews_by_id","Thu Mar 05 12:24:01 UTC 2026","passed","Thu Mar 05 12:24:01 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"","989","Check selection of one tag","tests.ui.create_news_tests","Thu Mar 05 12:24:51 UTC 2026","failed","Thu Mar 05 12:24:52 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the Create News form contains the particular fields.","5800","test_verify_create_news_form_fields_visibility[chrome-Language.UK]","tests.ui.create_news_tests","Thu Mar 05 12:24:40 UTC 2026","passed","Thu Mar 05 12:24:46 UTC 2026","","create_news_form_visibility_test","",""
"","1215","test_cancel_editing_discards_changes[chrome]","tests.ui","Thu Mar 05 12:27:21 UTC 2026","passed","Thu Mar 05 12:27:22 UTC 2026","","test_cancel_editing","",""
"Verify that the Edit News page disables the Edit button and highlights the title field when the title is empty","476","test_empty_title_field[chrome]","tests.ui.edit_news_tests","Thu Mar 05 12:26:43 UTC 2026","passed","Thu Mar 05 12:26:43 UTC 2026","","empty_title_validation_test","",""
"Verify that requesting a non-existing EcoNews returns 404 status code.","245","test_get_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Thu Mar 05 12:24:02 UTC 2026","passed","Thu Mar 05 12:24:02 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Verify that the Create News form contains the particular fields.","9458","test_verify_edit_news_form_fields_visibility[Language.UK-chrome]","tests.ui.edit_news_tests","Thu Mar 05 12:26:19 UTC 2026","passed","Thu Mar 05 12:26:28 UTC 2026","","edit_news_form_visibility_test","",""
"","0","Verify navigation and UI state","tests.ui","Thu Mar 05 12:27:22 UTC 2026","skipped","Thu Mar 05 12:27:22 UTC 2026","TestNewsDetails","test_news_details","",""
"The test checks validation error when uploading a GIF image (unsupported format)","10113","test_img_upload_gif_negative[chrome]","tests.ui.create_news_tests","Thu Mar 05 12:25:27 UTC 2026","passed","Thu Mar 05 12:25:37 UTC 2026","TestUploadImage","upload_image_test","",""
"Verify Create News publishing with multiple tags in different locales","1674","test_tag_selection[chrome-Language.UK]","tests.ui","Thu Mar 05 12:27:01 UTC 2026","passed","Thu Mar 05 12:27:02 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that updating EcoNews with invalid id, tag, title, content returns 400 Bad Request","69","test_update_eco_news_by_id_should_return_400","tests.api.econews_by_id","Thu Mar 05 12:24:02 UTC 2026","failed","Thu Mar 05 12:24:02 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Verify that EcoNews can be retrieved in English and Ukrainian using lang parameter.","61","test_get_eco_news_by_lang[en-Title in English should not be null]","tests.api.econews_by_id","Thu Mar 05 12:24:02 UTC 2026","passed","Thu Mar 05 12:24:02 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Verify that updating EcoNews without authorization returns 401 status code.","64","test_update_eco_news_by_id_without_token","tests.api.econews_by_id","Thu Mar 05 12:24:00 UTC 2026","passed","Thu Mar 05 12:24:00 UTC 2026","TestUnauthorizedEcoNewsById","econews_by_id_test","",""
"","1199","Check selection of three tags","tests.ui.create_news_tests","Thu Mar 05 12:24:57 UTC 2026","failed","Thu Mar 05 12:24:58 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify 'Recommended News' section title","tests.ui","Thu Mar 05 12:27:22 UTC 2026","skipped","Thu Mar 05 12:27:22 UTC 2026","TestNewsDetails","test_news_details","",""
"","1722","test_title_field_validation[chrome]","tests.ui.create_news_tests","Thu Mar 05 12:25:15 UTC 2026","passed","Thu Mar 05 12:25:17 UTC 2026","","title_field_validation_test","",""
"","6","test_greencity_is_work[chrome]","tests.ui","Thu Mar 05 12:27:24 UTC 2026","passed","Thu Mar 05 12:27:24 UTC 2026","","test_stub","",""
