"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that entering an invalid email triggers an email validation error","1718","Invalid email shows validation error in Sign In modal","tests.ui.auth_tests","Fri Mar 13 10:31:49 UTC 2026","passed","Fri Mar 13 10:31:51 UTC 2026","TestSignInModal","test_sign_in_modal","",""
"","0","Verify navigation and UI state","tests.ui","Fri Mar 13 10:35:44 UTC 2026","skipped","Fri Mar 13 10:35:44 UTC 2026","TestNewsDetails","test_news_details","",""
"","1225","test_base_navigate[chrome]","tests.ui","Fri Mar 13 10:35:47 UTC 2026","passed","Fri Mar 13 10:35:49 UTC 2026","","test_stub","",""
"","0","Verify navigation to a recommended news card","tests.ui","Fri Mar 13 10:35:44 UTC 2026","skipped","Fri Mar 13 10:35:44 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that the Create News form contains the particular fields.","9150","test_verify_edit_news_form_fields_visibility[Language.EN-chrome]","tests.ui.edit_news_tests","Fri Mar 13 10:34:12 UTC 2026","passed","Fri Mar 13 10:34:21 UTC 2026","","edit_news_form_visibility_test","",""
"Verify that the 'Edit news' button is not visible for news created by other users","11505","test_edit_button_not_visible_to_other_users[chrome]","tests.ui.edit_news_tests","Fri Mar 13 10:33:52 UTC 2026","passed","Fri Mar 13 10:34:04 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"","5","test_edit_content_not_shorter_than_20_chars_not_accepted[chrome]","tests.ui.create_news_tests","Fri Mar 13 10:33:11 UTC 2026","broken","Fri Mar 13 10:33:11 UTC 2026","","too_short_content_test","",""
"Test: Like a comment.","307","test_like_comment","tests.api","Fri Mar 13 10:31:40 UTC 2026","passed","Fri Mar 13 10:31:40 UTC 2026","TestNewsComments","news_comments_test","",""
"Verify that clicking 'Sign In' in the header opens the auth modal with correct title","1780","Sign In modal opens after clicking 'Sign In' in header","tests.ui.auth_tests","Fri Mar 13 10:31:46 UTC 2026","passed","Fri Mar 13 10:31:48 UTC 2026","TestSignInModal","test_sign_in_modal","",""
"Verify that the Create News form contains the particular fields.","5806","test_verify_create_news_form_fields_visibility[chrome-Language.UK]","tests.ui.create_news_tests","Fri Mar 13 10:32:28 UTC 2026","passed","Fri Mar 13 10:32:34 UTC 2026","","create_news_form_visibility_test","",""
"","0","Verify like functionality","tests.ui","Fri Mar 13 10:35:44 UTC 2026","skipped","Fri Mar 13 10:35:44 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that the Sign Up link inside Sign In modal navigates to Sign Up form","1366","Clicking 'Sign Up' link in Sign In modal opens Sign Up modal","tests.ui.auth_tests","Fri Mar 13 10:31:56 UTC 2026","passed","Fri Mar 13 10:31:58 UTC 2026","TestSignInModal","test_sign_in_modal","",""
"Verify that EcoNews can be retrieved in English and Ukrainian using lang parameter.","200","test_get_eco_news_by_lang[uk-Title in Ukrainian should not be null]","tests.api.econews_by_id","Fri Mar 13 10:31:32 UTC 2026","passed","Fri Mar 13 10:31:32 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Verify that EcoNews can be successfully retrieved by ID.","203","test_get_eco_news_by_id","tests.api.econews_by_id","Fri Mar 13 10:31:32 UTC 2026","passed","Fri Mar 13 10:31:32 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"","876","test_create_and_verify_news","tests.api","Fri Mar 13 10:31:43 UTC 2026","passed","Fri Mar 13 10:31:44 UTC 2026","","test_create_news_success","",""
"Verify that clicking the close button hides the Sign In modal","2195","Sign In modal closes after clicking the close button","tests.ui.auth_tests","Fri Mar 13 10:31:59 UTC 2026","passed","Fri Mar 13 10:32:01 UTC 2026","TestSignInModal","test_sign_in_modal","",""
"Verify Create News publishing with multiple tags in different locales","1740","test_tag_selection[chrome-Language.EN]","tests.ui","Fri Mar 13 10:35:09 UTC 2026","passed","Fri Mar 13 10:35:11 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Validation of error message when uploading an image larger than 10MB","tests.ui.create_news_tests","Fri Mar 13 10:32:56 UTC 2026","broken","Fri Mar 13 10:32:56 UTC 2026","TestNewsImageSizeValidation","test_image_size_validation","",""
"Verify that deleting a non-existing EcoNews returns 404 Not Found","349","test_delete_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Fri Mar 13 10:31:31 UTC 2026","passed","Fri Mar 13 10:31:31 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"","2371","test_create_and_delete_news[chrome]","tests.ui","Fri Mar 13 10:33:40 UTC 2026","broken","Fri Mar 13 10:33:43 UTC 2026","","delete_news_test","",""
"","1143","Check selection of one tag","tests.ui.create_news_tests","Fri Mar 13 10:32:40 UTC 2026","failed","Fri Mar 13 10:32:41 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify creating news with three tags","1534","test_three_tags_selection[chrome]","tests.ui","Fri Mar 13 10:35:33 UTC 2026","passed","Fri Mar 13 10:35:35 UTC 2026","TestTagSelection","tag_selection_test","",""
"","416","Add and remove news from favorites (Authorized)","tests.api.econews_by_id","Fri Mar 13 10:31:35 UTC 2026","passed","Fri Mar 13 10:31:36 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"Verify that the Create News form contains the particular fields.","9218","test_verify_edit_news_form_fields_visibility[Language.UK-chrome]","tests.ui.edit_news_tests","Fri Mar 13 10:34:28 UTC 2026","passed","Fri Mar 13 10:34:37 UTC 2026","","edit_news_form_visibility_test","",""
"The test checks successful validation when uploading a valid PNG image","172","test_img_upload_positive[chrome]","tests.ui.create_news_tests","Fri Mar 13 10:33:18 UTC 2026","passed","Fri Mar 13 10:33:18 UTC 2026","TestUploadImage","upload_image_test","",""
