"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that EcoNews can be successfully retrieved by ID.","109","test_get_eco_news_by_id","tests.api.econews_by_id","Fri Mar 06 15:16:48 UTC 2026","passed","Fri Mar 06 15:16:48 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Verify Create News publishing with multiple tags in different locales","1693","test_tag_selection[chrome-Language.UK]","tests.ui","Fri Mar 06 15:20:18 UTC 2026","passed","Fri Mar 06 15:20:20 UTC 2026","TestTagSelection","tag_selection_test","",""
"","5","test_greencity_is_work[chrome]","tests.ui","Fri Mar 06 15:20:35 UTC 2026","passed","Fri Mar 06 15:20:35 UTC 2026","","test_stub","",""
"Test: Add a comment to eco news.","278","test_add_comment_to_eco_news","tests.api.econews_comment","Fri Mar 06 15:16:56 UTC 2026","passed","Fri Mar 06 15:16:56 UTC 2026","TestNewsComments","news_comments_test","",""
"Verify that updating EcoNews without providing an image works correctly","350","test_update_eco_news_by_id_without_image","tests.api.econews_by_id","Fri Mar 06 15:16:46 UTC 2026","passed","Fri Mar 06 15:16:47 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"Verify that deleting a non-existing EcoNews returns 404 Not Found","127","test_delete_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Fri Mar 06 15:16:47 UTC 2026","passed","Fri Mar 06 15:16:47 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"","1052","Check selection of one tag","tests.ui.create_news_tests","Fri Mar 06 15:17:42 UTC 2026","failed","Fri Mar 06 15:17:43 UTC 2026","TestTagSelection","tag_selection_test","",""
"","458","Add the same news twice - Error 400","tests.api.econews_by_id","Fri Mar 06 15:16:51 UTC 2026","passed","Fri Mar 06 15:16:52 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"Verify that updating EcoNews with a specific image is successful","455","test_update_eco_news_by_id_with_image","tests.api.econews_by_id","Fri Mar 06 15:16:49 UTC 2026","passed","Fri Mar 06 15:16:50 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"","418","test_base_navigate[chrome]","tests.ui","Fri Mar 06 15:20:38 UTC 2026","passed","Fri Mar 06 15:20:38 UTC 2026","","test_stub","",""
"Verify that EcoNews can be retrieved in English and Ukrainian using lang parameter.","105","test_get_eco_news_by_lang[uk-Title in Ukrainian should not be null]","tests.api.econews_by_id","Fri Mar 06 15:16:48 UTC 2026","passed","Fri Mar 06 15:16:48 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Test: Get a comment by its ID.","118","test_get_comment_by_id","tests.api.econews_comment","Fri Mar 06 15:16:58 UTC 2026","passed","Fri Mar 06 15:16:58 UTC 2026","TestNewsComments","news_comments_test","",""
"Verify that the Create News form contains the particular fields.","10123","test_verify_edit_news_form_fields_visibility[Language.UK-chrome]","tests.ui.edit_news_tests","Fri Mar 06 15:19:24 UTC 2026","passed","Fri Mar 06 15:19:34 UTC 2026","","edit_news_form_visibility_test","",""
"","435","test_api_is_work","tests.api","Fri Mar 06 15:16:44 UTC 2026","passed","Fri Mar 06 15:16:45 UTC 2026","","base_api_test","",""
"","100","test_get_tags","tests.api","Fri Mar 06 15:16:59 UTC 2026","passed","Fri Mar 06 15:17:00 UTC 2026","","test_get_tags","",""
"","0","Validation of error message when uploading an image larger than 10MB","tests.ui.create_news_tests","Fri Mar 06 15:17:56 UTC 2026","broken","Fri Mar 06 15:17:56 UTC 2026","TestNewsImageSizeValidation","test_image_size_validation","",""
"Verify that requesting a non-existing EcoNews returns 404 status code.","110","test_get_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Fri Mar 06 15:16:48 UTC 2026","passed","Fri Mar 06 15:16:48 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Verify that the Create News form contains the particular fields.","6023","test_verify_create_news_form_fields_visibility[chrome-Language.UK]","tests.ui.create_news_tests","Fri Mar 06 15:17:31 UTC 2026","passed","Fri Mar 06 15:17:37 UTC 2026","","create_news_form_visibility_test","",""
"Verify that active replies for a comment can be retrieved when page size is set to 1.","231","test_get_active_replies_size_one","tests.api.econews_comment","Fri Mar 06 15:16:54 UTC 2026","passed","Fri Mar 06 15:16:55 UTC 2026","TestEcoNewsCommentReplies","news_comments_replies_test","",""
"Verify that the 'Edit news' button is visible only to the author of the news","77","test_edit_button_visible_to_author[chrome]","tests.ui.edit_news_tests","Fri Mar 06 15:18:46 UTC 2026","passed","Fri Mar 06 15:18:46 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"Verify that clicking the Cancel button triggers a confirmation modal, and selecting 'Yes, cancel' closes the form and redirects away","1310","test_cancel_button_behavior[chrome]","tests.ui.create_news_tests","Fri Mar 06 15:17:12 UTC 2026","passed","Fri Mar 06 15:17:14 UTC 2026","","cancel_creating_test","",""
"","1243","Check selection of three tags","tests.ui.create_news_tests","Fri Mar 06 15:17:48 UTC 2026","failed","Fri Mar 06 15:17:49 UTC 2026","TestTagSelection","tag_selection_test","",""
"","1251","test_cancel_editing_discards_changes[chrome]","tests.ui.edit_news_tests","Fri Mar 06 15:19:58 UTC 2026","passed","Fri Mar 06 15:19:59 UTC 2026","","test_cancel_editing","",""
"","200","test_get_news_success","tests.api","Fri Mar 06 15:16:59 UTC 2026","passed","Fri Mar 06 15:16:59 UTC 2026","","test_create_news_success","",""
