"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that deleting EcoNews without authorization returns 401 status code.","437","test_delete_eco_news_by_id_without_token","tests.api.econews_by_id","Fri Mar 13 10:54:43 UTC 2026","passed","Fri Mar 13 10:54:44 UTC 2026","TestUnauthorizedEcoNewsById","econews_by_id_test","",""
"Test adding a news item to favorites and then removing it.","278","Add and remove news from favorites (Authorized)","tests.api.econews_by_id","Fri Mar 13 10:54:55 UTC 2026","passed","Fri Mar 13 10:54:55 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"
    Test to validate all fields and interactions in the Edit News form.

    Steps:
    1. Set window size and switch language.
    2. Verify Title field behavior: append, prepend, remove characters.
    3. Verify Tags field: selection, deselection, limits.
    4. Verify Image Upload component: visibility, error messages, cropper buttons, change image.
    5. Verify Source field: value, validation message.
    6. Verify Content field: visibility, toolbar, counter, messages, append/prepend/remove content.
    7. Verify Author field.
    8. Verify Post Date field.
    9. Verify Publish/Edit, Preview, Cancel buttons.
    10. Verify Cancel modal functionality.
    11. Verify News Preview page.
    12. Verify Edit News after returning from preview.
    ","9770","Verify that the Create News form contains the particular fields.","tests.ui.edit_news_tests","Fri Mar 13 11:00:19 UTC 2026","passed","Fri Mar 13 11:00:29 UTC 2026","","edit_news_form_visibility_test","",""
"
        Verify that uploading an image larger than 10MB displays a validation error
        and the image is not loaded.
        ","10295","Validation of error message when uploading an image larger than 10MB","tests.ui.create_news_tests","Fri Mar 13 10:58:37 UTC 2026","passed","Fri Mar 13 10:58:47 UTC 2026","TestUploadImage","upload_image_test","",""
"","266","Verify that active replies for a comment can be retrieved for a specific page (page=0, size=10).","tests.api.econews_comment","Fri Mar 13 10:55:05 UTC 2026","passed","Fri Mar 13 10:55:05 UTC 2026","TestEcoNewsCommentReplies","news_comments_replies_test","",""
"Verify that the author can edit their own news and the changes are saved","2708","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Fri Mar 13 11:00:37 UTC 2026","passed","Fri Mar 13 11:00:39 UTC 2026","","edit_own_news_test","",""
"Verify that a comment can be retrieved by its ID.","140","Get comment by ID","tests.api.econews_comment","Fri Mar 13 10:55:02 UTC 2026","passed","Fri Mar 13 10:55:02 UTC 2026","TestNewsComments","news_comments_api_test","",""
"
        Test publishing news with predefined NewsTestData for one or multiple tags.
        Language param selects English ('en') or Ukrainian ('ua') data.
        ","1764","Verify Create News publishing with multiple tags in different locales","tests.ui.create_news_tests","Fri Mar 13 10:57:52 UTC 2026","passed","Fri Mar 13 10:57:54 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that providing invalid input to count_eco_news_likes returns 400 Bad Request.","116","test_count_eco_news_likes_should_return_400","tests.api.econews_by_id","Fri Mar 13 10:54:51 UTC 2026","passed","Fri Mar 13 10:54:51 UTC 2026","TestEcoNewsByIdLikes","econews_by_id_test","",""
"Test checks selection of one tag.","1210","Check selection of one tag","tests.ui.create_news_tests","Fri Mar 13 10:57:23 UTC 2026","passed","Fri Mar 13 10:57:24 UTC 2026","TestTagSelection","tag_selection_test","",""
"
        Verify that the system returns 400 Bad Request when invalid pagination
        or sorting parameters are provided.
        ","640","Verify 400 Bad Request is returned for invalid pagination or sorting parameters","tests.api.econews_comment","Fri Mar 13 10:55:07 UTC 2026","passed","Fri Mar 13 10:55:08 UTC 2026","TestEcoNewsCommentReplies","news_comments_replies_test","",""
"","310","Verify that active replies for a comment can be retrieved successfully without query parameters.","tests.api.econews_comment","Fri Mar 13 10:55:05 UTC 2026","passed","Fri Mar 13 10:55:05 UTC 2026","TestEcoNewsCommentReplies","news_comments_replies_test","",""
"
    Verify that an author can create a news article, view it in the news list,
    and delete it, ensuring it is no longer accessible afterwards.
    ","4680","Verify that an author can create a news article and delete it successfully","tests.ui","Fri Mar 13 10:59:14 UTC 2026","passed","Fri Mar 13 10:59:19 UTC 2026","","delete_news_test","",""
"Check GIF upload (unsupported format).","10130","The test checks validation error when uploading a GIF image (unsupported format)","tests.ui.create_news_tests","Fri Mar 13 10:58:59 UTC 2026","passed","Fri Mar 13 10:59:09 UTC 2026","TestUploadImage","upload_image_test","",""
"Verify that EcoNews can be retrieved in English and Ukrainian using lang parameter.","138","test_get_eco_news_by_lang[uk-Title in Ukrainian should not be null]","tests.api.econews_by_id","Fri Mar 13 10:54:48 UTC 2026","passed","Fri Mar 13 10:54:48 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"
    Test to validate all fields and interactions in the Edit News form.

    Steps:
    1. Set window size and switch language.
    2. Verify Title field behavior: append, prepend, remove characters.
    3. Verify Tags field: selection, deselection, limits.
    4. Verify Image Upload component: visibility, error messages, cropper buttons, change image.
    5. Verify Source field: value, validation message.
    6. Verify Content field: visibility, toolbar, counter, messages, append/prepend/remove content.
    7. Verify Author field.
    8. Verify Post Date field.
    9. Verify Publish/Edit, Preview, Cancel buttons.
    10. Verify Cancel modal functionality.
    11. Verify News Preview page.
    12. Verify Edit News after returning from preview.
    ","9812","Verify that the Create News form contains the particular fields.","tests.ui.edit_news_tests","Fri Mar 13 11:00:01 UTC 2026","passed","Fri Mar 13 11:00:11 UTC 2026","","edit_news_form_visibility_test","",""
"Verify that the comments count for a news item increases after adding a new comment.","448","Verify comments count increases after adding a comment","tests.api.econews_comment","Fri Mar 13 10:54:58 UTC 2026","passed","Fri Mar 13 10:54:59 UTC 2026","","news_comments_api_test","",""
"
    Verify the validation behavior of the Main Text (content) field in the Create News form.

    Steps:
    1. Login and open Create News page.
    2. Fill required fields except content.
    3. Enter too short content (<20 characters) and verify error message and disabled Publish.
    4. Enter too long content (>63,206 characters) and verify error message and disabled Publish.
    5. Enter valid content (>=20 characters) and verify error disappears and Publish button is enabled.
    6. Click Publish to submit the news.
    ","1410","Validate Main Text field for min/max length and Publish button state","tests.ui.create_news_tests","Fri Mar 13 10:56:41 UTC 2026","passed","Fri Mar 13 10:56:43 UTC 2026","","content_validation_test","",""
"
    Verify that all fields in the Create News form are visible and have correct default values.

    Steps:
    1. Set window size and language.
    2. Verify title field and counter.
    3. Verify tags visibility and default selection.
    4. Verify image upload component.
    5. Verify source field visibility and default value.
    6. Verify content field, toolbar, counter, and default text.
    7. Verify author field visibility and value.
    8. Verify post date field visibility.
    9. Verify action buttons (Cancel, Preview, Publish) visibility.
    10. Verify that all fields except author match expected language-specific data.
    ","6342","Verify that the Create News form contains the particular fields.","tests.ui.create_news_tests","Fri Mar 13 10:56:49 UTC 2026","passed","Fri Mar 13 10:56:55 UTC 2026","","create_news_form_visibility_test","",""
" Test creating news with exactly three tags. ","1612","Verify creating news with three tags","tests.ui.create_news_tests","Fri Mar 13 10:58:16 UTC 2026","passed","Fri Mar 13 10:58:17 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that EcoNews can be retrieved in English and Ukrainian using lang parameter.","518","test_get_eco_news_by_lang[en-Title in English should not be null]","tests.api.econews_by_id","Fri Mar 13 10:54:47 UTC 2026","passed","Fri Mar 13 10:54:48 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
" Verify that the 'Edit news' button is visible and enabled only to the author of the news. ","81","Verify that the 'Edit news' button is visible only to the author of the news","tests.ui.edit_news_tests","Fri Mar 13 10:59:27 UTC 2026","passed","Fri Mar 13 10:59:27 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"
    Verify that the user can cancel the EcoNews creation process.

    Steps:
    1. Open the Create News page and switch language to English.
    2. Fill in the news title and content.
    3. Click the Cancel button.
    4. Verify that the cancellation confirmation modal appears.
    5. Verify the modal text content.
    6. Confirm cancellation.
    7. Verify that the user is redirected away from the Create News page.
    ","1180","Verify cancel button behavior and redirection after confirmation","tests.ui.create_news_tests","Fri Mar 13 10:56:34 UTC 2026","passed","Fri Mar 13 10:56:35 UTC 2026","","cancel_creating_test","",""
"
    Verify that a user can create an EcoNews item with an image
    and retrieve it later using query parameters.
    ","739","Create EcoNews with image and verify it via query","tests.api","Fri Mar 13 10:55:11 UTC 2026","passed","Fri Mar 13 10:55:11 UTC 2026","","test_create_news_success","",""
"Verify that the Sign Up link inside Sign In modal navigates to Sign Up form","10785","Clicking 'Sign Up' link in Sign In modal opens Sign Up modal","tests.ui.auth_tests","Fri Mar 13 10:56:03 UTC 2026","broken","Fri Mar 13 10:56:14 UTC 2026","TestSignInModal","test_sign_in_modal","",""
"Verify that deleting a non-existing EcoNews returns 404 Not Found","388","test_delete_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Fri Mar 13 10:54:46 UTC 2026","passed","Fri Mar 13 10:54:46 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"Verify that a user can delete their comment by ID.","188","Delete comment by ID","tests.api.econews_comment","Fri Mar 13 10:55:03 UTC 2026","passed","Fri Mar 13 10:55:03 UTC 2026","TestNewsComments","news_comments_api_test","",""
"
        Verify that the system returns 404 Not Found when counting
        replies for a non-existing comment.
        ","277","Verify 404 Not Found is returned when counting replies for non-existing comment","tests.api.econews_comment","Fri Mar 13 10:55:08 UTC 2026","passed","Fri Mar 13 10:55:09 UTC 2026","TestEcoNewsCommentReplies","news_comments_replies_test","",""
"Verify that a user can like a comment.","527","Like comment","tests.api.econews_comment","Fri Mar 13 10:55:01 UTC 2026","passed","Fri Mar 13 10:55:02 UTC 2026","TestNewsComments","news_comments_api_test","",""
"
    Verify that when editing a news item, if the user clicks Cancel and confirms,
    all changes are discarded and the original content remains unchanged upon reopening.
    ","1248","Verify that canceling edit discards changes and original content remains","tests.ui.edit_news_tests","Fri Mar 13 11:00:56 UTC 2026","passed","Fri Mar 13 11:00:57 UTC 2026","","test_cancel_editing","",""
"
    Verify that the GreenCity main page loads and
    the browser title starts with 'GreenCity'.
    ","11","Verify GreenCity main page loads correctly","tests.ui","Fri Mar 13 11:01:09 UTC 2026","passed","Fri Mar 13 11:01:09 UTC 2026","","test_stub","",""
"Verify that an attempt to like a non-existing EcoNews item returns 404 Not Found.","152","test_like_non_existing_eco_news_by_id_should_return_404","tests.api.econews_by_id","Fri Mar 13 10:54:52 UTC 2026","passed","Fri Mar 13 10:54:52 UTC 2026","TestEcoNewsByIdLikes","econews_by_id_test","",""
"Verify that updating EcoNews with a specific image is successful","638","test_update_eco_news_by_id_with_image","tests.api.econews_by_id","Fri Mar 13 10:54:49 UTC 2026","passed","Fri Mar 13 10:54:50 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Verify that retrieving the likes count for an EcoNews item by ID is successful.","128","test_count_eco_news_likes","tests.api.econews_by_id","Fri Mar 13 10:54:50 UTC 2026","passed","Fri Mar 13 10:54:50 UTC 2026","TestEcoNewsByIdLikes","econews_by_id_test","",""
