"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","3","0","","0"
"0","","0","News Details","0","6","","0"
"0","","0","Create News","1","0","Cancel news creation","0"
