"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the Create News form contains the particular fields.","10207","test_verify_edit_news_form_fields_visibility[Language.UK-chrome]","tests.ui.edit_news_tests","Thu Mar 05 12:57:42 UTC 2026","passed","Thu Mar 05 12:57:53 UTC 2026","","edit_news_form_visibility_test","",""
"","159","Add and remove news from favorites (Authorized)","tests.api","Thu Mar 05 12:55:09 UTC 2026","passed","Thu Mar 05 12:55:09 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"Verify that clicking the Cancel button triggers a confirmation modal, and selecting 'Yes, cancel' closes the form and redirects away","1198","test_cancel_button_behavior[chrome]","tests.ui.create_news_tests","Thu Mar 05 12:55:24 UTC 2026","passed","Thu Mar 05 12:55:26 UTC 2026","","cancel_creating_test","",""
"Verify Create News publishing with multiple tags in different locales","1917","test_tag_selection[chrome-Language.UK]","tests.ui","Thu Mar 05 12:58:33 UTC 2026","passed","Thu Mar 05 12:58:35 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify navigation to a recommended news card","tests.ui","Thu Mar 05 12:59:00 UTC 2026","skipped","Thu Mar 05 12:59:00 UTC 2026","TestNewsDetails","test_news_details","",""
"","0","Verify like functionality","tests.ui","Thu Mar 05 12:59:00 UTC 2026","skipped","Thu Mar 05 12:59:00 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that the author can edit their own news and the changes are saved","2784","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Thu Mar 05 12:58:01 UTC 2026","passed","Thu Mar 05 12:58:04 UTC 2026","","edit_own_news_test","",""
"","1355","Check selection of three tags","tests.ui.create_news_tests","Thu Mar 05 12:56:06 UTC 2026","failed","Thu Mar 05 12:56:07 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the 'Edit news' button is not visible for news created by other users","11698","test_edit_button_not_visible_to_other_users[chrome]","tests.ui.edit_news_tests","Thu Mar 05 12:57:03 UTC 2026","passed","Thu Mar 05 12:57:15 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"Verify that the Edit News page disables the Edit button and highlights the title field when the title is empty","529","test_empty_title_field[chrome]","tests.ui.edit_news_tests","Thu Mar 05 12:58:12 UTC 2026","passed","Thu Mar 05 12:58:12 UTC 2026","","empty_title_validation_test","",""
