"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1066","Check selection of one tag","tests.ui.create_news_tests","Thu Mar 05 14:19:29 UTC 2026","failed","Thu Mar 05 14:19:30 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the Create News form contains the particular fields.","6631","test_verify_create_news_form_fields_visibility[chrome-Language.EN]","tests.ui.create_news_tests","Thu Mar 05 14:19:06 UTC 2026","passed","Thu Mar 05 14:19:12 UTC 2026","","create_news_form_visibility_test","",""
"","528","test_api_is_work","tests.api","Thu Mar 05 14:18:18 UTC 2026","passed","Thu Mar 05 14:18:19 UTC 2026","","base_api_test","",""
"","0","Verify 'Recommended News' section title","tests.ui","Thu Mar 05 14:22:19 UTC 2026","skipped","Thu Mar 05 14:22:19 UTC 2026","TestNewsDetails","test_news_details","",""
"","2081","test_source_field_validation[chrome]","tests.ui.create_news_tests","Thu Mar 05 14:19:49 UTC 2026","passed","Thu Mar 05 14:19:51 UTC 2026","","test_source_field","",""
"","4","test_edit_content_not_shorter_than_20_chars_not_accepted[chrome]","tests.ui.create_news_tests","Thu Mar 05 14:19:58 UTC 2026","broken","Thu Mar 05 14:19:58 UTC 2026","","too_short_content_test","",""
"","0","Verify navigation to a recommended news card","tests.ui","Thu Mar 05 14:22:19 UTC 2026","skipped","Thu Mar 05 14:22:19 UTC 2026","TestNewsDetails","test_news_details","",""
"","470","test_base_navigate[chrome]","tests.ui","Thu Mar 05 14:22:24 UTC 2026","passed","Thu Mar 05 14:22:24 UTC 2026","","test_stub","",""
"The test checks validation error when uploading a GIF image (unsupported format)","10100","test_img_upload_gif_negative[chrome]","tests.ui.create_news_tests","Thu Mar 05 14:20:09 UTC 2026","passed","Thu Mar 05 14:20:19 UTC 2026","TestUploadImage","upload_image_test","",""
"Verify that the Create News form contains the particular fields.","5835","test_verify_create_news_form_fields_visibility[chrome-Language.UK]","tests.ui.create_news_tests","Thu Mar 05 14:19:18 UTC 2026","passed","Thu Mar 05 14:19:24 UTC 2026","","create_news_form_visibility_test","",""
"Verify that the 'Edit news' button is not visible for news created by other users","10187","test_edit_button_not_visible_to_other_users[chrome]","tests.ui.edit_news_tests","Thu Mar 05 14:20:37 UTC 2026","passed","Thu Mar 05 14:20:47 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"Checks that the count of recommended cards equals 3","0","Verify that 3 recommended news cards are displayed","tests.ui","Thu Mar 05 14:22:19 UTC 2026","skipped","Thu Mar 05 14:22:19 UTC 2026","TestNewsDetails","test_news_details","",""
"","1309","test_cancel_editing_discards_changes[chrome]","tests.ui","Thu Mar 05 14:22:18 UTC 2026","passed","Thu Mar 05 14:22:19 UTC 2026","","test_cancel_editing","",""
"Verify that the Edit News page disables the Edit button and highlights the title field when the title is empty","529","test_empty_title_field[chrome]","tests.ui.edit_news_tests","Thu Mar 05 14:21:37 UTC 2026","passed","Thu Mar 05 14:21:38 UTC 2026","","empty_title_validation_test","",""
"","93","Add and remove news from favorites (Authorized)","tests.api","Thu Mar 05 14:18:20 UTC 2026","passed","Thu Mar 05 14:18:20 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"","0","Verify like functionality","tests.ui","Thu Mar 05 14:22:19 UTC 2026","skipped","Thu Mar 05 14:22:19 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that the Create News form contains the particular fields.","9929","test_verify_edit_news_form_fields_visibility[Language.EN-chrome]","tests.ui.edit_news_tests","Thu Mar 05 14:20:54 UTC 2026","passed","Thu Mar 05 14:21:04 UTC 2026","","edit_news_form_visibility_test","",""
"Verify that clicking the Cancel button triggers a confirmation modal, and selecting 'Yes, cancel' closes the form and redirects away","1401","test_cancel_button_behavior[chrome]","tests.ui.create_news_tests","Thu Mar 05 14:19:00 UTC 2026","passed","Thu Mar 05 14:19:01 UTC 2026","","cancel_creating_test","",""
"Verify creating news with single tag","1331","test_single_tag_selection[chrome]","tests.ui","Thu Mar 05 14:22:02 UTC 2026","passed","Thu Mar 05 14:22:03 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify Create News publishing with multiple tags in different locales","1834","test_tag_selection[chrome-Language.UK]","tests.ui","Thu Mar 05 14:21:55 UTC 2026","passed","Thu Mar 05 14:21:57 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify Create News publishing with multiple tags in different locales","1612","test_tag_selection[chrome-Language.EN]","tests.ui","Thu Mar 05 14:21:49 UTC 2026","passed","Thu Mar 05 14:21:51 UTC 2026","TestTagSelection","tag_selection_test","",""
"","5","test_greencity_is_work[chrome]","tests.ui","Thu Mar 05 14:22:21 UTC 2026","passed","Thu Mar 05 14:22:21 UTC 2026","","test_stub","",""
"Verify that the 'Edit news' button is visible only to the author of the news","69","test_edit_button_visible_to_author[chrome]","tests.ui.edit_news_tests","Thu Mar 05 14:20:35 UTC 2026","passed","Thu Mar 05 14:20:35 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"","0","Verify navigation and UI state","tests.ui","Thu Mar 05 14:22:19 UTC 2026","skipped","Thu Mar 05 14:22:19 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify max 3 tags selectable behavior","1569","test_four_tags_selection_blocked[chrome]","tests.ui","Thu Mar 05 14:21:43 UTC 2026","passed","Thu Mar 05 14:21:44 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the author can edit their own news and the changes are saved","2668","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Thu Mar 05 14:21:28 UTC 2026","passed","Thu Mar 05 14:21:30 UTC 2026","","edit_own_news_test","",""
"Verify that the Create News form contains the particular fields.","10193","test_verify_edit_news_form_fields_visibility[Language.UK-chrome]","tests.ui.edit_news_tests","Thu Mar 05 14:21:12 UTC 2026","passed","Thu Mar 05 14:21:22 UTC 2026","","edit_news_form_visibility_test","",""
"","0","Verify news details elements and content","tests.ui","Thu Mar 05 14:22:19 UTC 2026","skipped","Thu Mar 05 14:22:19 UTC 2026","TestNewsDetails","test_news_details","",""
"","930","Verify that selecting a 4th tag is blocked","tests.ui.create_news_tests","Thu Mar 05 14:19:43 UTC 2026","passed","Thu Mar 05 14:19:44 UTC 2026","TestTagSelection","tag_selection_test","",""
"","2218","test_create_and_delete_news[chrome]","tests.ui","Thu Mar 05 14:20:25 UTC 2026","broken","Thu Mar 05 14:20:27 UTC 2026","","delete_news_test","",""
"","221","Attempt to add to favorites without token - Error 401","tests.api","Thu Mar 05 14:18:21 UTC 2026","passed","Thu Mar 05 14:18:21 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"The test checks successful validation when uploading a valid PNG image","160","test_img_upload_positive[chrome]","tests.ui.create_news_tests","Thu Mar 05 14:20:03 UTC 2026","passed","Thu Mar 05 14:20:04 UTC 2026","TestUploadImage","upload_image_test","",""
"","0","test_title_field_validation","tests.ui.create_news_tests","Thu Mar 05 14:19:51 UTC 2026","broken","Thu Mar 05 14:19:51 UTC 2026","","title_field_validation_test","",""
"","1234","Check selection of three tags","tests.ui.create_news_tests","Thu Mar 05 14:19:36 UTC 2026","failed","Thu Mar 05 14:19:37 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify creating news with three tags","1568","test_three_tags_selection[chrome]","tests.ui","Thu Mar 05 14:22:09 UTC 2026","passed","Thu Mar 05 14:22:10 UTC 2026","TestTagSelection","tag_selection_test","",""
"","98","Add the same news twice - Error 400","tests.api","Thu Mar 05 14:18:20 UTC 2026","passed","Thu Mar 05 14:18:20 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
