"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Test to validate that editing EcoNews with content shorter than 20 characters is rejected.

    Steps:
    1. Open existing news in Edit News page.
    2. Enter invalid content with less than 20 characters.
    3. Verify that content field is marked as invalid.
    4. Fill valid title and select a tag.
    5. Verify that the Edit button remains disabled due to invalid content.
    ","924","Verify that content shorter than 20 characters is not accepted when editing news","tests.ui.edit_news_tests","Tue Mar 10 10:34:22 UTC 2026","passed","Tue Mar 10 10:34:23 UTC 2026","","too_short_content_test","",""
"
        Verify that active replies are correctly sorted:
        1. By createdDate in descending order
        2. By modifiedDate in descending order
        3. By multiple fields (createdDate, modifiedDate) in descending order
        ","901","Verify active replies are correctly sorted by createdDate and modifiedDate","tests.api.econews_comment","Tue Mar 10 10:29:48 UTC 2026","passed","Tue Mar 10 10:29:49 UTC 2026","TestEcoNewsCommentReplies","news_comments_replies_test","",""
"Verify that deleting a non-existing EcoNews returns 404 Not Found","251","test_delete_non_existing_eco_news_should_return_404","tests.api.econews_by_id","Tue Mar 10 10:29:34 UTC 2026","passed","Tue Mar 10 10:29:34 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"
    Verify that the user can cancel the EcoNews creation process.

    Steps:
    1. Open the Create News page and switch language to English.
    2. Fill in the news title and content.
    3. Click the Cancel button.
    4. Verify that the cancellation confirmation modal appears.
    5. Verify the modal text content.
    6. Confirm cancellation.
    7. Verify that the user is redirected away from the Create News page.
    ","1249","Verify cancel button behavior and redirection after confirmation","tests.ui.create_news_tests","Tue Mar 10 10:30:04 UTC 2026","passed","Tue Mar 10 10:30:05 UTC 2026","","cancel_creating_test","",""
"Test verifies that selecting a 4th tag is blocked.","1006","Verify that selecting a 4th tag is blocked","tests.ui.create_news_tests","Tue Mar 10 10:31:03 UTC 2026","passed","Tue Mar 10 10:31:04 UTC 2026","TestTagSelection","tag_selection_test","",""
"Test adding a news item to favorites and then removing it.","252","Add and remove news from favorites (Authorized)","tests.api.econews_by_id","Tue Mar 10 10:29:38 UTC 2026","passed","Tue Mar 10 10:29:39 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"","233","Verify that active replies for a comment can be retrieved when page size is set to 1.","tests.api.econews_comment","Tue Mar 10 10:29:48 UTC 2026","passed","Tue Mar 10 10:29:48 UTC 2026","TestEcoNewsCommentReplies","news_comments_replies_test","",""
"
    Test to validate all fields and interactions in the Edit News form.

    Steps:
    1. Set window size and switch language.
    2. Verify Title field behavior: append, prepend, remove characters.
    3. Verify Tags field: selection, deselection, limits.
    4. Verify Image Upload component: visibility, error messages, cropper buttons, change image.
    5. Verify Source field: value, validation message.
    6. Verify Content field: visibility, toolbar, counter, messages, append/prepend/remove content.
    7. Verify Author field.
    8. Verify Post Date field.
    9. Verify Publish/Edit, Preview, Cancel buttons.
    10. Verify Cancel modal functionality.
    11. Verify News Preview page.
    12. Verify Edit News after returning from preview.
    ","10030","Verify that the Create News form contains the particular fields.","tests.ui.edit_news_tests","Tue Mar 10 10:33:21 UTC 2026","passed","Tue Mar 10 10:33:31 UTC 2026","","edit_news_form_visibility_test","",""
"Verify that the Edit News page disables the Edit button and highlights the title field when the title is empty","532","test_empty_title_field[chrome]","tests.ui.edit_news_tests","Tue Mar 10 10:34:06 UTC 2026","passed","Tue Mar 10 10:34:06 UTC 2026","","empty_title_validation_test","",""
"Verify that a user can delete their comment by ID.","145","Delete comment by ID","tests.api.econews_comment","Tue Mar 10 10:29:45 UTC 2026","passed","Tue Mar 10 10:29:45 UTC 2026","TestNewsComments","news_comments_api_test","",""
"Test that adding a news item to favorites without authentication returns 401.","223","Attempt to add to favorites without token - Error 401","tests.api.econews_by_id","Tue Mar 10 10:29:40 UTC 2026","passed","Tue Mar 10 10:29:40 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"Verify that deleting EcoNews without authorization returns 401 status code.","238","test_delete_eco_news_by_id_without_token","tests.api.econews_by_id","Tue Mar 10 10:29:33 UTC 2026","passed","Tue Mar 10 10:29:33 UTC 2026","TestUnauthorizedEcoNewsById","econews_by_id_test","",""
"
    Verify that all fields in the Create News form are visible and have correct default values.

    Steps:
    1. Set window size and language.
    2. Verify title field and counter.
    3. Verify tags visibility and default selection.
    4. Verify image upload component.
    5. Verify source field visibility and default value.
    6. Verify content field, toolbar, counter, and default text.
    7. Verify author field visibility and value.
    8. Verify post date field visibility.
    9. Verify action buttons (Cancel, Preview, Publish) visibility.
    10. Verify that all fields except author match expected language-specific data.
    ","3721","Verify that the Create News form contains the particular fields.","tests.ui.create_news_tests","Tue Mar 10 10:30:21 UTC 2026","broken","Tue Mar 10 10:30:25 UTC 2026","","create_news_form_visibility_test","",""
"
    Verify that all fields in the Create News form are visible and have correct default values.

    Steps:
    1. Set window size and language.
    2. Verify title field and counter.
    3. Verify tags visibility and default selection.
    4. Verify image upload component.
    5. Verify source field visibility and default value.
    6. Verify content field, toolbar, counter, and default text.
    7. Verify author field visibility and value.
    8. Verify post date field visibility.
    9. Verify action buttons (Cancel, Preview, Publish) visibility.
    10. Verify that all fields except author match expected language-specific data.
    ","3781","Verify that the Create News form contains the particular fields.","tests.ui.create_news_tests","Tue Mar 10 10:30:32 UTC 2026","broken","Tue Mar 10 10:30:36 UTC 2026","","create_news_form_visibility_test","",""
"Verify that a user can like a comment.","500","Like comment","tests.api.econews_comment","Tue Mar 10 10:29:44 UTC 2026","passed","Tue Mar 10 10:29:44 UTC 2026","TestNewsComments","news_comments_api_test","",""
"Check GIF upload (unsupported format).","10081","The test checks validation error when uploading a GIF image (unsupported format)","tests.ui.create_news_tests","Tue Mar 10 10:32:21 UTC 2026","passed","Tue Mar 10 10:32:32 UTC 2026","TestUploadImage","upload_image_test","",""
"Verify that EcoNews can be retrieved in English and Ukrainian using lang parameter.","115","test_get_eco_news_by_lang[en-Title in English should not be null]","tests.api.econews_by_id","Tue Mar 10 10:29:35 UTC 2026","passed","Tue Mar 10 10:29:35 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Verify that the EcoNews API returns a list of available tags.","100","Get EcoNews tags by language","tests.api","Tue Mar 10 10:29:51 UTC 2026","passed","Tue Mar 10 10:29:52 UTC 2026","","test_get_tags","",""
"
    Test to validate all fields and interactions in the Edit News form.

    Steps:
    1. Set window size and switch language.
    2. Verify Title field behavior: append, prepend, remove characters.
    3. Verify Tags field: selection, deselection, limits.
    4. Verify Image Upload component: visibility, error messages, cropper buttons, change image.
    5. Verify Source field: value, validation message.
    6. Verify Content field: visibility, toolbar, counter, messages, append/prepend/remove content.
    7. Verify Author field.
    8. Verify Post Date field.
    9. Verify Publish/Edit, Preview, Cancel buttons.
    10. Verify Cancel modal functionality.
    11. Verify News Preview page.
    12. Verify Edit News after returning from preview.
    ","10272","Verify that the Create News form contains the particular fields.","tests.ui.edit_news_tests","Tue Mar 10 10:33:39 UTC 2026","passed","Tue Mar 10 10:33:49 UTC 2026","","edit_news_form_visibility_test","",""
"Test that adding the same news item to favorites twice results in an error.","220","Add the same news twice - Error 400","tests.api.econews_by_id","Tue Mar 10 10:29:39 UTC 2026","passed","Tue Mar 10 10:29:39 UTC 2026","TestFavoriteEcoNews","test_favorites","",""
"Verify that updating EcoNews with invalid id, tag, title, content returns 400 Bad Request","1063","test_update_eco_news_by_id_should_return_400","tests.api.econews_by_id","Tue Mar 10 10:29:36 UTC 2026","passed","Tue Mar 10 10:29:37 UTC 2026","TestEcoNewsByIdWithImage","econews_by_id_test","",""
"Verify that a comment dislike status toggles correctly by another user.","242","Verify that a comment dislike status toggles correctly","tests.api.econews_comment","Tue Mar 10 10:29:42 UTC 2026","passed","Tue Mar 10 10:29:42 UTC 2026","","news_comments_api_test","",""
"
    Verify that an author can create a news article, view it in the news list,
    and delete it, ensuring it is no longer accessible afterwards.
    ","4776","Verify that an author can create a news article and delete it successfully","tests.ui","Tue Mar 10 10:32:37 UTC 2026","passed","Tue Mar 10 10:32:42 UTC 2026","","delete_news_test","",""
"Verify that a comment can be successfully updated.","237","Verify that a comment can be successfully updated","tests.api.econews_comment","Tue Mar 10 10:29:43 UTC 2026","passed","Tue Mar 10 10:29:43 UTC 2026","","news_comments_api_test","",""
" Verify that the 'Edit news' button is NOT visible for news created by another user. ","10146","Verify that the 'Edit news' button is not visible for news created by other users","tests.ui.edit_news_tests","Tue Mar 10 10:32:59 UTC 2026","passed","Tue Mar 10 10:33:09 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"
        Test publishing news with predefined NewsTestData for one or multiple tags.
        Language param selects English ('en') or Ukrainian ('ua') data.
        ","2102","Verify Create News publishing with multiple tags in different locales","tests.ui.create_news_tests","Tue Mar 10 10:31:18 UTC 2026","passed","Tue Mar 10 10:31:20 UTC 2026","TestTagSelection","tag_selection_test","",""
" Test creating news with a single tag. ","1674","Verify creating news with single tag","tests.ui.create_news_tests","Tue Mar 10 10:31:34 UTC 2026","passed","Tue Mar 10 10:31:35 UTC 2026","TestTagSelection","tag_selection_test","",""
