"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","466","test_base_navigate[chrome]","tests.ui","Sun Mar 01 12:33:43 UTC 2026","passed","Sun Mar 01 12:33:43 UTC 2026","","test_stub","",""
"","0","Verify navigation and UI state","tests.ui","Sun Mar 01 12:33:37 UTC 2026","skipped","Sun Mar 01 12:33:37 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that the Create News form contains the particular fields.","6115","test_verify_create_news_form_fields_visibility[en-chrome-Language.UK]","tests.ui.create_news_tests","Sun Mar 01 12:32:30 UTC 2026","passed","Sun Mar 01 12:32:36 UTC 2026","","create_news_form_visibility_test","",""
"Verify creating news with single tag","1352","test_single_tag_selection[chrome]","tests.ui","Sun Mar 01 12:33:29 UTC 2026","passed","Sun Mar 01 12:33:30 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the Create News form contains the particular fields.","6603","test_verify_create_news_form_fields_visibility[en-chrome-Language.EN]","tests.ui.create_news_tests","Sun Mar 01 12:32:17 UTC 2026","passed","Sun Mar 01 12:32:23 UTC 2026","","create_news_form_visibility_test","",""
"Verify Create News publishing with multiple tags in different locales","1638","test_tag_selection[chrome-en]","tests.ui","Sun Mar 01 12:33:16 UTC 2026","passed","Sun Mar 01 12:33:18 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify navigation to a recommended news card","tests.ui","Sun Mar 01 12:33:37 UTC 2026","skipped","Sun Mar 01 12:33:37 UTC 2026","TestNewsDetails","test_news_details","",""
"","0","Verify like functionality","tests.ui","Sun Mar 01 12:33:37 UTC 2026","skipped","Sun Mar 01 12:33:37 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that the Create News form contains the particular fields.","5935","test_verify_create_news_form_fields_visibility[ua-chrome-Language.EN]","tests.ui.create_news_tests","Sun Mar 01 12:32:41 UTC 2026","passed","Sun Mar 01 12:32:47 UTC 2026","","create_news_form_visibility_test","",""
"Verify max 3 tags selectable behavior","1589","test_four_tags_selection_blocked[chrome]","tests.ui","Sun Mar 01 12:33:08 UTC 2026","passed","Sun Mar 01 12:33:10 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify 'Recommended News' section title","tests.ui","Sun Mar 01 12:33:37 UTC 2026","skipped","Sun Mar 01 12:33:37 UTC 2026","TestNewsDetails","test_news_details","",""
"","0","Verify news details elements and content","tests.ui","Sun Mar 01 12:33:37 UTC 2026","skipped","Sun Mar 01 12:33:37 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify Create News publishing with multiple tags in different locales","1716","test_tag_selection[chrome-ua]","tests.ui","Sun Mar 01 12:33:23 UTC 2026","passed","Sun Mar 01 12:33:24 UTC 2026","TestTagSelection","tag_selection_test","",""
"","5","test_greencity_is_work[chrome]","tests.ui","Sun Mar 01 12:33:40 UTC 2026","passed","Sun Mar 01 12:33:40 UTC 2026","","test_stub","",""
"","1742","test_title_field_validation[chrome]","tests.ui.create_news_tests","Sun Mar 01 12:33:01 UTC 2026","passed","Sun Mar 01 12:33:03 UTC 2026","","title_field_validation_test","",""
"Verify creating news with three tags","1551","test_three_tags_selection[chrome]","tests.ui","Sun Mar 01 12:33:35 UTC 2026","passed","Sun Mar 01 12:33:37 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the Create News form contains the particular fields.","6160","test_verify_create_news_form_fields_visibility[ua-chrome-Language.UK]","tests.ui.create_news_tests","Sun Mar 01 12:32:52 UTC 2026","passed","Sun Mar 01 12:32:58 UTC 2026","","create_news_form_visibility_test","",""
"Checks that the count of recommended cards equals 3","0","Verify that 3 recommended news cards are displayed","tests.ui","Sun Mar 01 12:33:37 UTC 2026","skipped","Sun Mar 01 12:33:37 UTC 2026","TestNewsDetails","test_news_details","",""
