"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the Create News form contains the particular fields.","10221","test_verify_edit_news_form_fields_visibility[Language.EN-chrome]","tests.ui.edit_news_tests","Thu Mar 05 10:10:56 UTC 2026","passed","Thu Mar 05 10:11:06 UTC 2026","","edit_news_form_visibility_test","",""
"Verify Create News publishing with multiple tags in different locales","1735","test_tag_selection[chrome-Language.UK]","tests.ui","Thu Mar 05 10:12:00 UTC 2026","passed","Thu Mar 05 10:12:02 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that the Create News form contains the particular fields.","6276","test_verify_create_news_form_fields_visibility[chrome-Language.EN]","tests.ui.create_news_tests","Thu Mar 05 10:09:19 UTC 2026","passed","Thu Mar 05 10:09:25 UTC 2026","","create_news_form_visibility_test","",""
"","1293","Check selection of three tags","tests.ui.create_news_tests","Thu Mar 05 10:09:48 UTC 2026","failed","Thu Mar 05 10:09:49 UTC 2026","TestTagSelection","tag_selection_test","",""
"","1040","Check selection of one tag","tests.ui.create_news_tests","Thu Mar 05 10:09:41 UTC 2026","failed","Thu Mar 05 10:09:42 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify news details elements and content","tests.ui","Thu Mar 05 10:12:34 UTC 2026","skipped","Thu Mar 05 10:12:34 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that updating EcoNews without providing an image works correctly","282","test_update_eco_news_by_id_without_image","tests.api.econews_by_id","Thu Mar 05 10:09:06 UTC 2026","passed","Thu Mar 05 10:09:06 UTC 2026","TestEcoNewsById","econews_by_id_test","",""
"Verify that clicking the Cancel button triggers a confirmation modal, and selecting 'Yes, cancel' closes the form and redirects away","1284","test_cancel_button_behavior[chrome]","tests.ui.create_news_tests","Thu Mar 05 10:09:12 UTC 2026","passed","Thu Mar 05 10:09:13 UTC 2026","","cancel_creating_test","",""
"The test checks validation error when uploading a GIF image (unsupported format)","10091","test_img_upload_gif_negative[chrome]","tests.ui.create_news_tests","Thu Mar 05 10:10:19 UTC 2026","passed","Thu Mar 05 10:10:29 UTC 2026","TestUploadImage","upload_image_test","",""
"","0","Verify like functionality","tests.ui","Thu Mar 05 10:12:34 UTC 2026","skipped","Thu Mar 05 10:12:34 UTC 2026","TestNewsDetails","test_news_details","",""
"","905","test_base_navigate[chrome]","tests.ui","Thu Mar 05 10:12:40 UTC 2026","passed","Thu Mar 05 10:12:41 UTC 2026","","test_stub","",""
"","11173","test_cancel_editing_discards_changes[chrome]","tests.ui","Thu Mar 05 10:12:23 UTC 2026","broken","Thu Mar 05 10:12:34 UTC 2026","","test_cancel_editing","",""
"Verify that the 'Edit news' button is not visible for news created by other users","10214","test_edit_button_not_visible_to_other_users[chrome]","tests.ui.edit_news_tests","Thu Mar 05 10:10:39 UTC 2026","passed","Thu Mar 05 10:10:49 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"","424","test_api_is_work","tests.api","Thu Mar 05 10:09:04 UTC 2026","passed","Thu Mar 05 10:09:04 UTC 2026","","base_api_test","",""
"Verify that the Create News form contains the particular fields.","6107","test_verify_create_news_form_fields_visibility[chrome-Language.UK]","tests.ui.create_news_tests","Thu Mar 05 10:09:30 UTC 2026","passed","Thu Mar 05 10:09:36 UTC 2026","","create_news_form_visibility_test","",""
"","5","test_greencity_is_work[chrome]","tests.ui","Thu Mar 05 10:12:37 UTC 2026","passed","Thu Mar 05 10:12:37 UTC 2026","","test_stub","",""
"Verify that deleting EcoNews without authorization returns 401 status code.","79","test_delete_eco_news_by_id_without_token","tests.api.econews_by_id","Thu Mar 05 10:09:05 UTC 2026","passed","Thu Mar 05 10:09:05 UTC 2026","TestUnauthorizedEcoNewsById","econews_by_id_test","",""
"Checks that the count of recommended cards equals 3","0","Verify that 3 recommended news cards are displayed","tests.ui","Thu Mar 05 10:12:34 UTC 2026","skipped","Thu Mar 05 10:12:34 UTC 2026","TestNewsDetails","test_news_details","",""
"","2140","test_source_field_validation[chrome]","tests.ui.create_news_tests","Thu Mar 05 10:10:01 UTC 2026","passed","Thu Mar 05 10:10:03 UTC 2026","","test_source_field","",""
"","0","Verify navigation to a recommended news card","tests.ui","Thu Mar 05 10:12:34 UTC 2026","skipped","Thu Mar 05 10:12:34 UTC 2026","TestNewsDetails","test_news_details","",""
"Verify that the Edit News page disables the Edit button and highlights the title field when the title is empty","513","test_empty_title_field[chrome]","tests.ui.edit_news_tests","Thu Mar 05 10:11:40 UTC 2026","passed","Thu Mar 05 10:11:40 UTC 2026","","empty_title_validation_test","",""
"","930","Verify that selecting a 4th tag is blocked","tests.ui.create_news_tests","Thu Mar 05 10:09:56 UTC 2026","passed","Thu Mar 05 10:09:57 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify creating news with three tags","1536","test_three_tags_selection[chrome]","tests.ui","Thu Mar 05 10:12:13 UTC 2026","passed","Thu Mar 05 10:12:15 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify that updating EcoNews without authorization returns 401 status code.","272","test_update_eco_news_by_id_without_token","tests.api.econews_by_id","Thu Mar 05 10:09:05 UTC 2026","passed","Thu Mar 05 10:09:05 UTC 2026","TestUnauthorizedEcoNewsById","econews_by_id_test","",""
"Verify that the author can edit their own news and the changes are saved","2687","test_verify_author_can_edit_own_news[chrome]","tests.ui.edit_news_tests","Thu Mar 05 10:11:30 UTC 2026","passed","Thu Mar 05 10:11:32 UTC 2026","","edit_own_news_test","",""
"Verify that the 'Edit news' button is visible only to the author of the news","67","test_edit_button_visible_to_author[chrome]","tests.ui.edit_news_tests","Thu Mar 05 10:10:36 UTC 2026","passed","Thu Mar 05 10:10:36 UTC 2026","TestEditButtonVisibility","edit_button_visibility_test","",""
"Verify that the Create News form contains the particular fields.","9917","test_verify_edit_news_form_fields_visibility[Language.UK-chrome]","tests.ui.edit_news_tests","Thu Mar 05 10:11:13 UTC 2026","passed","Thu Mar 05 10:11:23 UTC 2026","","edit_news_form_visibility_test","",""
"Verify Create News publishing with multiple tags in different locales","1659","test_tag_selection[chrome-Language.EN]","tests.ui","Thu Mar 05 10:11:53 UTC 2026","passed","Thu Mar 05 10:11:55 UTC 2026","TestTagSelection","tag_selection_test","",""
"","2836","test_title_field_validation[chrome]","tests.ui.create_news_tests","Thu Mar 05 10:10:06 UTC 2026","passed","Thu Mar 05 10:10:08 UTC 2026","","title_field_validation_test","",""
"The test checks successful validation when uploading a valid PNG image","153","test_img_upload_positive[chrome]","tests.ui.create_news_tests","Thu Mar 05 10:10:13 UTC 2026","passed","Thu Mar 05 10:10:13 UTC 2026","TestUploadImage","upload_image_test","",""
"Verify max 3 tags selectable behavior","1585","test_four_tags_selection_blocked[chrome]","tests.ui","Thu Mar 05 10:11:46 UTC 2026","passed","Thu Mar 05 10:11:48 UTC 2026","TestTagSelection","tag_selection_test","",""
"Verify creating news with single tag","1333","test_single_tag_selection[chrome]","tests.ui","Thu Mar 05 10:12:07 UTC 2026","passed","Thu Mar 05 10:12:08 UTC 2026","TestTagSelection","tag_selection_test","",""
"","0","Verify 'Recommended News' section title","tests.ui","Thu Mar 05 10:12:34 UTC 2026","skipped","Thu Mar 05 10:12:34 UTC 2026","TestNewsDetails","test_news_details","",""
"","0","Verify navigation and UI state","tests.ui","Thu Mar 05 10:12:34 UTC 2026","skipped","Thu Mar 05 10:12:34 UTC 2026","TestNewsDetails","test_news_details","",""
